,missing,expected
t_u,0,30024
t_l,0,30024
t_ip_u,0,30024
p_l,0,30024
p_i,0,30024
rh_l,0,30024
rh_i,0,30024
rh_l_cor,0,30024
dlr,1248,30024
ulr,1248,30024
dsr,1225,30024
usr,1225,30024
z_boom_u,0,30024
z_boom_l,0,30024
z_stakewspd_u,0,30024
wspd_l,0,30024
wspd_i,0,30024
