,missing,expected
t_u,0,27326
t_l,0,27326
t_ip_u,0,27326
p_l,919,27326
p_i,34,27326
rh_l,0,27326
rh_i,0,27326
rh_l_cor,0,27326
dlr,5885,27326
ulr,5885,27326
dsr,5811,27326
usr,5811,27326
z_boom_u,77,27326
z_boom_l,3386,27326
z_stakewspd_u,0,27326
wspd_l,7040,27326
wspd_i,0,27326
