,missing,expected
t_u,6,19449
t_l,0,19449
t_ip_u,0,19449
p_l,0,19449
p_i,52,19449
rh_l,0,19449
rh_i,16,19449
rh_l_cor,0,19449
dlr,49,19449
ulr,49,19449
dsr,49,19449
usr,49,19449
z_boom_u,45,19449
z_boom_l,0,19449
z_stakewspd_u,0,19449
wspd_l,0,19449
wspd_i,0,19449
