,missing,expected
t_u,4392,16447
t_l,0,16447
t_ip_u,0,16447
p_l,0,16447
p_i,0,16447
rh_l,0,16447
rh_i,4351,16447
rh_l_cor,0,16447
dlr,0,16447
ulr,0,16447
dsr,2,16447
usr,28,16447
z_boom_u,3500,16447
z_boom_l,0,16447
z_stakewspd_u,0,16447
wspd_l,0,16447
wspd_i,7,16447
