,missing,expected
t_u,7,26271
t_l,7,26271
t_ip_u,0,26271
p_l,723,26271
p_i,710,26271
rh_l,7,26271
rh_i,8,26271
rh_l_cor,0,26271
dlr,2599,26271
ulr,2599,26271
dsr,2581,26271
usr,2581,26271
z_boom_u,161,26271
z_boom_l,10,26271
z_stakewspd_u,0,26271
wspd_l,8,26271
wspd_i,9,26271
