,missing,expected
t_u,0,5688
t_l,0,5688
t_ip_u,0,5688
p_l,0,5688
p_i,0,5688
rh_l,0,5688
rh_i,0,5688
rh_l_cor,0,5688
dlr,0,5688
ulr,0,5688
dsr,0,5688
usr,0,5688
z_boom_u,0,5688
z_boom_l,0,5688
z_stakewspd_u,0,5688
wspd_l,0,5688
wspd_i,0,5688
