,missing,expected
t_u,86,28813
t_l,603,28813
t_ip_u,0,28813
p_l,1495,28813
p_i,1127,28813
rh_l,10051,28813
rh_i,635,28813
rh_l_cor,0,28813
dlr,6420,28813
ulr,6420,28813
dsr,6417,28813
usr,6417,28813
z_boom_u,751,28813
z_boom_l,276,28813
z_stakewspd_u,0,28813
wspd_l,1736,28813
wspd_i,2167,28813
