,missing,expected
t_u,77,38178
t_l,1572,38178
t_ip_u,0,38178
p_l,2630,38178
p_i,319,38178
rh_l,1611,38178
rh_i,85,38178
rh_l_cor,0,38178
dlr,3576,38178
ulr,3576,38178
dsr,3534,38178
usr,3545,38178
z_boom_u,80,38178
z_boom_l,79,38178
z_stakewspd_u,0,38178
wspd_l,4749,38178
wspd_i,2619,38178
