,missing,expected
t_u,0,130054
t_l,0,130054
t_ip_u,0,130054
p_l,0,130054
p_i,0,130054
rh_l,0,130054
rh_i,0,130054
rh_l_cor,0,130054
dlr,1609,130054
ulr,1609,130054
dsr,1603,130054
usr,1603,130054
z_boom_u,1332,130054
z_boom_l,0,130054
z_stakewspd_u,0,130054
wspd_l,0,130054
wspd_i,0,130054
