,missing,expected
t_u,0,141919
t_l,0,141919
t_ip_u,0,141919
p_l,0,141919
p_i,0,141919
rh_l,0,141919
rh_i,0,141919
rh_l_cor,0,141919
dlr,13371,141919
ulr,13513,141919
dsr,12875,141919
usr,12870,141919
z_boom_u,2903,141919
z_boom_l,0,141919
z_stakewspd_u,0,141919
wspd_l,0,141919
wspd_i,0,141919
