,missing,expected
t_u,2148,146403
t_l,0,146403
t_ip_u,0,146403
p_l,0,146403
p_i,0,146403
rh_l,0,146403
rh_i,1972,146403
rh_l_cor,0,146403
dlr,3135,146403
ulr,3135,146403
dsr,2819,146403
usr,2776,146403
z_boom_u,3125,146403
z_boom_l,0,146403
z_stakewspd_u,0,146403
wspd_l,0,146403
wspd_i,1467,146403
