,missing,expected
t_u,0,2779
t_l,0,2779
t_ip_u,0,2779
p_l,0,2779
p_i,0,2779
rh_l,0,2779
rh_i,0,2779
rh_l_cor,0,2779
dlr,0,2779
ulr,0,2779
dsr,0,2779
usr,0,2779
z_boom_u,0,2779
z_boom_l,0,2779
z_stakewspd_u,0,2779
wspd_l,0,2779
wspd_i,0,2779
