,missing,expected
t_u,7547,157342
t_l,0,157342
t_ip_u,0,157342
p_l,0,157342
p_i,8158,157342
rh_l,0,157342
rh_i,8551,157342
rh_l_cor,0,157342
dlr,9437,157342
ulr,9360,157342
dsr,9702,157342
usr,9655,157342
z_boom_u,52150,157342
z_boom_l,0,157342
z_stakewspd_u,0,157342
wspd_l,0,157342
wspd_i,1815,157342
