,missing,expected
t_u,0,32998
t_l,0,32998
t_ip_u,0,32998
p_l,0,32998
p_i,0,32998
rh_l,0,32998
rh_i,0,32998
rh_l_cor,0,32998
dlr,289,32998
ulr,289,32998
dsr,289,32998
usr,289,32998
z_boom_u,693,32998
z_boom_l,0,32998
z_stakewspd_u,0,32998
wspd_l,0,32998
wspd_i,0,32998
