,missing,expected
t_u,0,60964
t_l,0,60964
t_ip_u,0,60964
p_l,0,60964
p_i,0,60964
rh_l,0,60964
rh_i,0,60964
rh_l_cor,0,60964
dlr,2456,60964
ulr,2456,60964
dsr,2346,60964
usr,2355,60964
z_boom_u,9066,60964
z_boom_l,0,60964
z_stakewspd_u,0,60964
wspd_l,0,60964
wspd_i,0,60964
