,missing,expected
t_u,0,28258
t_l,0,28258
t_ip_u,0,28258
p_l,0,28258
p_i,0,28258
rh_l,0,28258
rh_i,0,28258
rh_l_cor,0,28258
dlr,97,28258
ulr,97,28258
dsr,97,28258
usr,97,28258
z_boom_u,1104,28258
z_boom_l,0,28258
z_stakewspd_u,0,28258
wspd_l,0,28258
wspd_i,0,28258
