,missing,expected
t_u,0,27173
t_l,0,27173
t_ip_u,0,27173
p_l,0,27173
p_i,0,27173
rh_l,0,27173
rh_i,0,27173
rh_l_cor,0,27173
dlr,679,27173
ulr,679,27173
dsr,652,27173
usr,652,27173
z_boom_u,957,27173
z_boom_l,0,27173
z_stakewspd_u,0,27173
wspd_l,0,27173
wspd_i,0,27173
