,missing,expected
t_u,1125,40459
t_l,0,40459
t_ip_u,0,40459
p_l,0,40459
p_i,2160,40459
rh_l,0,40459
rh_i,1144,40459
rh_l_cor,0,40459
dlr,8234,40459
ulr,6502,40459
dsr,4250,40459
usr,4250,40459
z_boom_u,135,40459
z_boom_l,0,40459
z_stakewspd_u,0,40459
wspd_l,0,40459
wspd_i,45,40459
