,missing,expected
t_u,0,10452
t_l,0,10452
t_ip_u,0,10452
p_l,0,10452
p_i,0,10452
rh_l,0,10452
rh_i,0,10452
rh_l_cor,0,10452
dlr,0,10452
ulr,0,10452
dsr,0,10452
usr,0,10452
z_boom_u,9,10452
z_boom_l,0,10452
z_stakewspd_u,0,10452
wspd_l,0,10452
wspd_i,118,10452
