,missing,expected
t_u,9471,60065
t_l,0,60065
t_ip_u,0,60065
p_l,0,60065
p_i,0,60065
rh_l,0,60065
rh_i,4860,60065
rh_l_cor,0,60065
dlr,10116,60065
ulr,10115,60065
dsr,9266,60065
usr,9263,60065
z_boom_u,2765,60065
z_boom_l,0,60065
z_stakewspd_u,0,60065
wspd_l,0,60065
wspd_i,708,60065
