"Year" "EGP" "KPC_L" "KPC_U" "SCO_L" "SCO_U" "TAS_L" "TAS_U" "TAS_A" "QAS_L" "QAS_M" "QAS_U" "QAS_A" "NUK_L" "NUK_U" "NUK_N" "KAN_L" "KAN_M" "KAN_U" "UPE_L" "UPE_U" "THU_L" "THU_U" "CEN"
2001 -999 -999 -999 -999 -999 -999 -999 -999 5.9 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
2002 -999 -999 -999 -999 -999 -999 -999 -999 6.1 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
2003 -999 -999 -999 -999 -999 -999 -999 -999 8 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
2004 -999 -999 -999 -999 -999 -999 -999 -999 6.1 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
2005 -999 -999 -999 -999 -999 -999 -999 -999 5.9 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
2006 -999 -999 -999 -999 -999 -999 -999 -999 5.7 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
2007 -999 -999 -999 -999 -999 -999 -999 -999 6.9 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
2008 -999 -999 -999 -999 -999 3.6 3.3 -999 7.3 -999 0.8 -999 5.3 2.2 -999 -999 -999 -999 -999 -999 -999 -999 -999
2009 -999 1.2 -0.1 2.6 1.4 2.5 1.5 -999 4.1 -999 0 -999 4.8 1.5 -999 3.5 0.3 -999 -999 -999 -999 -999 -999
2010 -999 1.7 0.1 3.5 2.5 4.9 3.9 -999 9.3 -999 3 -999 7.2 3.3 -999 5.4 2.6 -0.2 3.2 2.7 -999 -999 -999
2011 -999 2.5 0.2 3.1 2.3 3.4 2.9 -999 4.7 -999 0.8 -999 5.7 2.3 4.2 4 1.7 -0.3 2.9 2.6 2.4 1 -999
2012 -999 3.3 0.3 3.6 2.8 4.3 3.7 -999 8.5 -999 1.3 -999 6.9 3.3 4.6 4.7 2.1 0.4 3.3 2.8 2.5 1.1 -999
2013 -999 1.4 -0.2 3.3 2 2.9 2.5 -999 5.9 -999 0.1 0.1 4.9 1.9 2.5 3 0.7 -0.2 1.6 1 0.3 0 -999
2014 -999 2.1 -0.2 3.4 2 4.3 3.2 1.7 6.1 -999 1.7 1.4 5.7 2 -999 3.5 1.4 -0.3 2.4 1.6 1.7 0.2 -999
2015 -999 2.3 -0.1 3.2 1.8 3.1 2.3 0.2 4.7 -999 0 0 3.8 0.1 -999 2.5 0 -0.3 2.3 1.3 2.4 0.7 -999
2016 -999 2.4 0.2 3.5 2.3 4.4 -999 2 8.1 -999 2 -999 6.7 2.5 -999 3.9 2.3 -0.2 2.3 1.3 1.9 0.5 -999
2017 -999 2.2 0 3.2 1.7 3.8 -999 0.9 5.5 3.3 0.9 -999 4.3 0.7 -999 3.4 0.4 -0.2 2.1 0.8 1 -0.1 -999
2018 -999 0.7 -0.3 2.7 1.1 3.1 -999 0.0 4.6 2.0 0.6 -999 4.5 1.3 -999 2.6 0.6 -0.4 1.7 0.8 0.2 -0.3 -999
2019 -999 2.9 0.3 3.3 2.6 4.9 -999 1.1 7.5 3.8 1.4 -999 6.6 3.3 -999 5.8 1.8 0.1 3.2 3.0 2.7 0.5 -999
2020 -999 2.3 0.1 3.2 1.6 3.3 -999 0.2 4.8 3.2 0.6 -999 4.9 1.7 -999 4.0 0.8 -0.1 2.2 0.7 1.7 0.2 -999
2021 -999 2.2 0.0 3.8 2.1 4.3 -999 1.1 4.9 2.1 0.3 -999 4.8 1.1 -999 4.0 0.7 -0.2 3.3 1.6 0.3 -0.2 -999
2022 -999 1.1 -0.1 3.1 1.4 4.5 -999 2.1 7.2 3.7 1.5 -999 6.4 1.8 -999 4.2 0.7 -0.3 2.2 1.2 2.1 0.1 -999
2023 -999 2.0 0.2 3.0 2.0 3.5 -999 0.9 6.0 3.6 2.1 -999 4.9 1.3 -999 3.0 0.8 -0.5 1.6 1.0 2.2 -0.2 -999
2024 -999 1.3 0.0 3.1 2.4 4.2 -999 1.0 5.1 2.3 1.2 -999 4.4 1.1 -999 2.2 0.3 -999 1.7 1.0 1.4 -0.1 -999
