,Date visit,Station,Length of thermistor string on surface from surface marking,depth_new_thermistor_m,Note,depth_ablation_hose_arrival_m,depth_ablation_hose_departure_m,height_SR50_AWS_arrival_cm,height_SR50_AWS_departure_cm,height_SR50_stakes_arrival_cm,height_SR50_stakes_departure_cm,Note.1
0,2007-08-15,TAS_U,,"0.44, 1.44, 2.44, 3.44, 4.44, 5.44, 5.44, 5.44, 5.44 ",,,6,,,,,Found on the ground
1,2007-08-23,TAS_L,,,,,,,,,,The wind speed & direction sensor on this station is rotated 90 degrees relative to the boom.
2,2007-08-20,NUK_L,,"1, 2, 3,4, 5, 6, 6, 6",,,6,,,,,logger time is two hours off by mistake
3,2007-08-20,NUK_U,,"0.7, 1.7, 2.7, 3.7, 4.7, 5.7, 5.7, 5.7",,,6,,,,,logger time is two hours off by mistake
4,2007-08-24,QAS_L,,"0.78, 1.78, 2.78, 3.78, 4.78, 5.78, 5.78, 5.78",,,,,,,,
5,2008-07-17,KPC_L,,"1.2, 2.2, 3.2, 4.2, 5.2, 6.2, 7.2, 10.2",,,,,,,,
6,2008-07-17,KPC_U,,,,,,,,,,
7,2008-07-21,SCO_U,,,,,,,,,,
8,2008-07-22,SCO_L,,,,,,,,,,
9,2008-07-30,NUK_L,432,"1, 2, 3, 4, 5, 6, 7, 10",,,,,,,,
10,2008-07-30,NUK_U,206,,,,,,,,,
11,2008-08-07,QAS_L,,"0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,AWS on the ground upon arrival
12,2008-08-07,QAS_U,,"1, 2, 3, 4, 5, 6, 7, 10",,,,,,,,
13,2008-09-01,KAN_L,,"1, 2, 3, 4, 5, 6, 7, 10",,,15,,,,,
14,2008-09-02,KAN_M,,,,,failed,,,,,
15,2009-04-02,KAN_L,,,,,,,,,,
16,2009-04-03,KAN_M,,"0.25, 1.25, 2.25, 3.25, 4.25,5.25, 6.25, 9.25",,,,,,,,
17,2009-04-05,KAN_U,,"-1.59, 0.59, 0.41, 1.41, 2.41, 3.41, 4.41, 7.41",,,,,,,,
18,2009-08-17,UPE_L,,"1, 2, 3, 4, 5, 6, 7, 10",,,,,,,,
19,2009-08-17,UPE_U,,"0.25, 1.25, 2.25, 3.25, 4.25, 5.25, 6.25, 9.25",,,,,,,,
20,2009-08-24,NUK_L,600,"0.15, 1.15, 2.15, 3.15, 4.15, 5.15, 6.15, 9.15",,,,,,,,
21,2009-08-24,NUK_U,,"1, 2, 3, 4, 5, 6, 7, 10",,,,,,,,
22,2009-08-31,QAS_L,,"0.35, 1.35, 2.35,  3.35, 4.35, 5.35, 6.35, 9.35",,,,,,,,Old station in crevasse. Station relocated 1.6km upstream
23,2009-08-31,QAS_U,,,,,,,,,,
24,2010-07-19,QAS_L,577,"1, 2, 3, 4, 5, 6, 7, 10",,,,,,,,
25,2010-07-20,QAS_U,,"1, 2, 3, 4, 5, 6, 7, 10",,,,,,,,
26,2010-07-23,NUK_U,,"1, 2, 3, 4, 5, 6, 7, 10",,,,,,,,
27,2010-07-25,NUK_N,,,,,,,,,,
28,2010-07-25,NUK_L,,"1, 2, 3, 4, 5, 6, 7, 10",,,,,,,,
29,2010-07-26,SCO_U,350,"1, 2, 3, 4, 5, 6, 7, 10",,,,,,,,
30,2010-07-26,SCO_L,610,"-1, 0, 1, 2, 3, 4, 5, 8",,,,,,,,
31,2010-08-05,TAS_L,940,"0.4, 1.4, 2.4, 3.4, 4.4, 5.4, 6.4, 9.4",,,,,,,,
32,2010-08-06,TAS_U,,"-2, -1, 0, 1, 2, 3, 4, 7",,,,,,,,
33,2010-08-08,MIT,580,,,,,,,,,
34,2010-05-15,KAN_M,,"1, 2, 3, 4, 5, 6, 7, 10",,,,,,,,Maintenance sheet missing ask Dirk
35,2010-05-15,KAN_L,,"1, 2, 3, 4, 5, 6, 7, 10",,,,,,,,Maintenance sheet missing ask Dirk
36,2010-08-10,THU_U,,"1, 2, 3, 4, 5, 6, 7, 10",,,,,,,,
37,2011-07-20,UPE_L,600,,,,,,,,,
38,2011-07-29,UPE_U,500,,,,,,,,,
39,2011-08-25,NUK_L,600,"1, 2, 3, 4, 5, 6, 7, 10",,,,,,,,
40,2011-08-23,NUK_N,352,,,,,,,,,
41,2011-08-23,NUK_U,422,"1, 2, 3, 4, 5, 6, 7, 10",,,,,,,,Station on the ground
42,2011-08-10,QAS_L,750,"1.1, 2.1, 3.1, 4.1, 5.1, 6.1, 7.1, 10.1",,,,,,,,
43,2011-08-11,QAS_U,249,,,,,,,,,
44,2011-08-09,TAS_L,465,,,,,,,,,
45,2011-08-09,TAS_U,360,,,,,,,,,
46,2011-06-03,KAN_L,,"0.36, 1.36, 2.36, 3.36, 4.36, 5.36, 6.36, 9.36",,,,,,,,
