station_id,project,number_of_booms,location_type,date_installation,latitude_installation,longitude_installation,altitude_installation,date_last_valid,latitude_last_valid,longitude_last_valid,altitude_last_valid
THU_U2,PROMICE,1,ice sheet,2018-05-22,76.390387,-68.109637,743.76,2023-08-18,76.390208,-68.110515,745.83
THU_U2v3,PROMICE,1,ice sheet,2024-05-18,76.390132,-68.110688,747.52,2025-06-11,76.390101,-68.110875,746.76
TUN,GC-Net,2,ice sheet,2022-05-27,78.01909,-33.962976,2079.19,2025-06-11,78.019465,-33.959879,2079.0
UPE_L,PROMICE,1,ice sheet,2009-08-17,72.893219,-54.295084,229.31,2025-06-11,72.893373,-54.295922,198.89
UPE_U,PROMICE,1,ice sheet,2009-08-18,72.891274,-53.535554,977.88,2025-06-11,72.884708,-53.626294,909.96
UWN,UWN,1,not Greenland,2020-04-18,61.683695,7.20937,604.55,2025-06-11,61.687286,7.192145,543.86
WEG_B,Wegener,1,tundra,2022-06-29,71.141462,-51.222045,13.97,2025-06-11,71.141458,-51.222053,16.65
WEG_L,Wegener,1,ice sheet,2022-08-14,71.205196,-51.095579,936.6,2025-06-11,71.204717,-51.102127,932.3
ZAC_A,GlacioBasis,2,local glacier,2023-04-22,74.647543,-21.652029,1483.21,2025-06-11,74.647504,-21.652035,1482.15
ZAC_Lv3,GlacioBasis,1,local glacier,2022-04-20,74.624177,-21.374466,632.34,2025-06-11,74.624058,-21.374241,626.26
ZAC_Uv3,GlacioBasis,1,local glacier,2022-04-21,74.643398,-21.462629,868.32,2025-06-11,74.643231,-21.460597,860.22
