TAS_A

 ======== test get_l2 ========= 

2025-11-14 09:56:40,598; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/TAS_A.csv
2025-11-14 09:56:40,623; INFO; pypromice.pipeline.L2toL3; Combining surface height
2025-11-14 09:56:40,623; INFO; pypromice.pipeline.L2toL3; -> ablation site
2025-11-14 09:56:41,135; INFO; pypromice.pipeline.L2toL3; surface height combination finished
2025-11-14 09:56:41,200; INFO; pypromice.pipeline.L2toL3; Calculating thermistor depth
2025-11-14 09:56:41,279; INFO; pypromice.pipeline.L2toL3; interpolating 10 m firn/ice temperature (on hourly values)
2025-11-14 09:56:52,033; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:56:52,167; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:56:54,533; INFO; pypromice.io.write; Written to L3_test/stations/TAS_A/TAS_A_hour.csv
2025-11-14 09:56:54,533; INFO; pypromice.io.write; Written to L3_test/stations/TAS_A/TAS_A_hour.nc
2025-11-14 09:56:54,659; INFO; pypromice.io.write; Resampling to 1D
2025-11-14 09:56:54,739; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:56:54,887; INFO; pypromice.io.write; Written to L3_test/stations/TAS_A/TAS_A_day.csv
2025-11-14 09:56:54,887; INFO; pypromice.io.write; Written to L3_test/stations/TAS_A/TAS_A_day.nc
2025-11-14 09:56:55,012; INFO; pypromice.io.write; Resampling to MS
2025-11-14 09:56:55,089; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:56:55,144; INFO; pypromice.io.write; Written to L3_test/stations/TAS_A/TAS_A_month.csv
2025-11-14 09:56:55,144; INFO; pypromice.io.write; Written to L3_test/stations/TAS_A/TAS_A_month.nc
