UPE_U

 ======== test get_l2 ========= 

2025-11-14 09:57:58,398; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/UPE_U_300034012776170_1.txt
2025-11-14 09:57:58,495; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from UPE_U_300034012776170_1.txt
2025-11-14 09:57:58,496; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/UPE_U_300034012776170_2.txt
2025-11-14 09:57:58,552; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from UPE_U_300034012776170_2.txt
2025-11-14 09:57:58,566; INFO; pypromice.pipeline.aws; Level 1 processing...
2025-11-14 09:57:58,746; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:57:58,979; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:57:59,140; INFO; pypromice.pipeline.aws; Level 2 processing...
2025-11-14 09:57:59,143; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/UPE_U.csv
2025-11-14 09:57:59,148; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/UPE_U.csv
2025-11-14 09:57:59,177; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/UPE_U.csv
2025-11-14 09:57:59,208; INFO; pypromice.core.qc.github_data_issues; ---> 2012-08-11 00:00:00 2015-08-03 13:00:00 wdir_u rotate 180.0
2025-11-14 09:57:59,208; INFO; pypromice.core.qc.github_data_issues; Time range does not intersect with dataset
2025-11-14 09:57:59,210; INFO; pypromice.core.qc.github_data_issues; could not adjust z_ice_surf not in dataset
2025-11-14 09:57:59,210; INFO; pypromice.core.qc.github_data_issues; could not adjust z_surf_2 not in dataset
2025-11-14 09:58:02,163; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:58:02,245; INFO; pypromice.io.write; Writing to files...
