SDM

 ======== test get_l2 ========= 

2025-11-14 09:56:11,567; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/SDM/SDM_2025_raw.txt
2025-11-14 09:56:11,828; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from SDM_2025_raw.txt
2025-11-14 09:56:11,851; INFO; pypromice.pipeline.aws; Level 1 processing...
2025-11-14 09:56:12,098; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:56:12,435; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:56:12,740; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:56:13,327; INFO; pypromice.pipeline.aws; Level 2 processing...
2025-11-14 09:56:13,342; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/SDM.csv
2025-11-14 09:56:13,356; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/SDM.csv
2025-11-14 09:56:13,597; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/SDM.csv
2025-11-14 09:56:13,638; INFO; pypromice.core.qc.github_data_issues; could not adjust z_surf_1 not in dataset
2025-11-14 09:56:13,638; INFO; pypromice.core.qc.github_data_issues; could not adjust z_surf_2 not in dataset
2025-11-14 09:56:15,739; INFO; pypromice.io.write; Resampling to 10min
2025-11-14 09:56:15,938; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:56:22,476; INFO; pypromice.io.write; Written to L2_test/raw/SDM/SDM_10min.csv
2025-11-14 09:56:22,476; INFO; pypromice.io.write; Written to L2_test/raw/SDM/SDM_10min.nc
2025-11-14 09:56:23,096; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:56:23,204; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:56:24,330; INFO; pypromice.io.write; Written to L2_test/raw/SDM/SDM_hour.csv
2025-11-14 09:56:24,330; INFO; pypromice.io.write; Written to L2_test/raw/SDM/SDM_hour.nc

 ======== test join_l2 ========= 

