NAE

 ======== test get_l2 ========= 

2025-11-14 09:50:16,730; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/NAE_300534063815700_1.txt
2025-11-14 09:50:16,737; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/NAE_300534063815700_1.txt
2025-11-14 09:50:16,765; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from NAE_300534063815700_1.txt
2025-11-14 09:50:16,803; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/NAE_300534063819800_2.txt
2025-11-14 09:50:16,901; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from NAE_300534063819800_2.txt
2025-11-14 09:50:16,902; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/NAE_300534062416350_3.txt
2025-11-14 09:50:16,962; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/NAE_300534062416350_3.txt
2025-11-14 09:50:17,090; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from NAE_300534062416350_3.txt
2025-11-14 09:50:17,106; INFO; pypromice.pipeline.aws; Level 1 processing...
2025-11-14 09:50:17,238; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:50:17,473; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:50:17,725; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:50:17,974; INFO; pypromice.pipeline.aws; Level 2 processing...
2025-11-14 09:50:17,976; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/NAE.csv
2025-11-14 09:50:17,987; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/NAE.csv
2025-11-14 09:50:18,083; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/NAE.csv
2025-11-14 09:50:18,902; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:50:18,998; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:50:19,846; INFO; pypromice.io.write; Written to L2_test/tx/NAE/NAE_hour.csv
2025-11-14 09:50:19,846; INFO; pypromice.io.write; Written to L2_test/tx/NAE/NAE_hour.nc
2025-11-14 09:50:20,061; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/raw/NAE/NAE_2022_raw_transmitted.txt
2025-11-14 09:50:20,062; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/raw/NAE/NAE_2022_raw_transmitted.txt
2025-11-14 09:50:20,080; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from NAE_2022_raw_transmitted.txt
2025-11-14 09:50:20,086; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/NAE/NAE_2024_raw.txt
2025-11-14 09:50:20,191; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/NAE/NAE_2024_raw.txt
2025-11-14 09:50:20,417; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from NAE_2024_raw.txt
2025-11-14 09:50:20,424; INFO; pypromice.pipeline.aws; Level 1 processing...
2025-11-14 09:50:20,489; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:50:20,693; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:50:20,852; INFO; pypromice.pipeline.aws; Level 2 processing...
2025-11-14 09:50:20,855; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/NAE.csv
2025-11-14 09:50:20,860; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/NAE.csv
2025-11-14 09:50:20,923; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/NAE.csv
2025-11-14 09:50:21,924; INFO; pypromice.io.write; Resampling to 10min
2025-11-14 09:50:22,058; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:50:23,693; INFO; pypromice.io.write; Written to L2_test/raw/NAE/NAE_10min.csv
2025-11-14 09:50:23,694; INFO; pypromice.io.write; Written to L2_test/raw/NAE/NAE_10min.nc
2025-11-14 09:50:23,993; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:50:24,073; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:50:24,446; INFO; pypromice.io.write; Written to L2_test/raw/NAE/NAE_hour.csv
2025-11-14 09:50:24,447; INFO; pypromice.io.write; Written to L2_test/raw/NAE/NAE_hour.nc

 ======== test join_l2 ========= 

2025-11-14 09:50:24,579; INFO; pypromice.pipeline.join_l2; NAE array loaded from L2_test/raw/NAE/NAE_hour.nc
2025-11-14 09:50:24,617; INFO; pypromice.pipeline.join_l2; NAE array loaded from L2_test/tx/NAE/NAE_hour.nc
2025-11-14 09:50:24,617; INFO; pypromice.pipeline.join_l2; Combining L2_test/raw/NAE/NAE_hour.nc with L2_test/tx/NAE/NAE_hour.nc...
2025-11-14 09:50:24,731; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:50:25,456; INFO; pypromice.io.write; Written to L2_test/level_2/NAE/NAE_hour.csv
2025-11-14 09:50:25,456; INFO; pypromice.io.write; Written to L2_test/level_2/NAE/NAE_hour.nc
2025-11-14 09:50:25,457; INFO; pypromice.pipeline.join_l2; Files saved to L2_test/level_2/NAE...

 ======== test l2tol3 ========= 

2025-11-14 09:50:25,503; WARNING; root; data_issues_path is missing. Using default data issues path: ../PROMICE-AWS-data-issues
2025-11-14 09:50:28,867; INFO; pypromice.pipeline.L2toL3; processing gps_lat with relocation on 2023-06-26T07:00:00
2025-11-14 09:50:28,873; INFO; pypromice.pipeline.L2toL3; processing gps_lon with relocation on 2023-06-26T07:00:00
2025-11-14 09:50:28,878; INFO; pypromice.pipeline.L2toL3; processing gps_alt with relocation on 2023-06-26T07:00:00
2025-11-14 09:50:28,900; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/NAE.csv
2025-11-14 09:50:28,906; INFO; pypromice.pipeline.L2toL3; Combining surface height
2025-11-14 09:50:28,906; INFO; pypromice.pipeline.L2toL3; -> did not find z_ice_surf
2025-11-14 09:50:28,907; INFO; pypromice.pipeline.L2toL3; -> no z_pt or accumulation site: averaging z_surf_1 and z_surf_2
2025-11-14 09:50:28,957; INFO; pypromice.pipeline.L2toL3; Calculating thermistor depth
2025-11-14 09:50:29,001; INFO; pypromice.pipeline.L2toL3; interpolating 10 m firn/ice temperature (on hourly values)
2025-11-14 09:50:29,733; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:50:29,861; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:50:30,859; INFO; pypromice.io.write; Written to L3_test/stations/NAE/NAE_hour.csv
2025-11-14 09:50:30,859; INFO; pypromice.io.write; Written to L3_test/stations/NAE/NAE_hour.nc
2025-11-14 09:50:30,985; INFO; pypromice.io.write; Resampling to 1D
2025-11-14 09:50:31,090; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:50:31,205; INFO; pypromice.io.write; Written to L3_test/stations/NAE/NAE_day.csv
2025-11-14 09:50:31,205; INFO; pypromice.io.write; Written to L3_test/stations/NAE/NAE_day.nc
2025-11-14 09:50:31,298; INFO; pypromice.io.write; Resampling to MS
2025-11-14 09:50:31,401; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:50:31,477; INFO; pypromice.io.write; Written to L3_test/stations/NAE/NAE_month.csv
2025-11-14 09:50:31,477; INFO; pypromice.io.write; Written to L3_test/stations/NAE/NAE_month.nc
