NEM

 ======== test get_l2 ========= 

2025-11-14 09:51:19,723; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/NEM_300534062417910_1.txt
2025-11-14 09:51:19,853; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from NEM_300534062417910_1.txt
2025-11-14 09:51:19,860; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/NEM_300534062417910_2.txt
2025-11-14 09:51:19,888; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/NEM_300534062417910_2.txt
2025-11-14 09:51:19,957; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from NEM_300534062417910_2.txt
2025-11-14 09:51:19,957; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/NEM_300534062417910_3.txt
2025-11-14 09:51:19,969; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/NEM_300534062417910_3.txt
2025-11-14 09:51:20,009; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from NEM_300534062417910_3.txt
2025-11-14 09:51:20,022; INFO; pypromice.pipeline.aws; Level 1 processing...
2025-11-14 09:51:20,170; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:51:20,482; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:51:20,705; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:51:20,900; INFO; pypromice.pipeline.aws; Level 2 processing...
2025-11-14 09:51:20,902; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/NEM.csv
2025-11-14 09:51:20,908; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/NEM.csv
2025-11-14 09:51:21,015; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/NEM.csv
2025-11-14 09:51:21,020; INFO; pypromice.core.qc.github_data_issues; could not adjust p_u p_l not in dataset
2025-11-14 09:51:21,025; INFO; pypromice.core.qc.github_data_issues; could not adjust z_surf_1 not in dataset
2025-11-14 09:51:21,025; INFO; pypromice.core.qc.github_data_issues; could not adjust z_surf_2 not in dataset
2025-11-14 09:51:21,942; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:51:22,037; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:51:23,364; INFO; pypromice.io.write; Written to L2_test/tx/NEM/NEM_hour.csv
2025-11-14 09:51:23,364; INFO; pypromice.io.write; Written to L2_test/tx/NEM/NEM_hour.nc
2025-11-14 09:51:24,796; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/NEM/NEM_2023_raw.txt
2025-11-14 09:51:24,842; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/NEM/NEM_2023_raw.txt
2025-11-14 09:51:24,958; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from NEM_2023_raw.txt
2025-11-14 09:51:24,965; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/NEM/NEM_2024_DataTable10min.dat
2025-11-14 09:51:25,088; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/NEM/NEM_2024_DataTable10min.dat
2025-11-14 09:51:25,336; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from NEM_2024_DataTable10min.dat
2025-11-14 09:51:26,145; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/NEM/NEM_2024_DataTable60min.dat
2025-11-14 09:51:26,166; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/NEM/NEM_2024_DataTable60min.dat
2025-11-14 09:51:26,230; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from NEM_2024_DataTable60min.dat
2025-11-14 09:51:26,237; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/NEM/NEM_2025_DataTable10min.dat
2025-11-14 09:51:26,380; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/NEM/NEM_2025_DataTable10min.dat
2025-11-14 09:51:26,667; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from NEM_2025_DataTable10min.dat
2025-11-14 09:51:26,688; INFO; pypromice.pipeline.aws; Level 1 processing...
2025-11-14 09:51:26,785; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:51:27,039; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:51:27,257; INFO; pypromice.core.variables.gps; Found 'L' in GPS string; applying decode + scaling.
2025-11-14 09:51:27,299; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:51:27,545; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:51:28,000; INFO; pypromice.pipeline.aws; Level 2 processing...
2025-11-14 09:51:28,006; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/NEM.csv
2025-11-14 09:51:28,014; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/NEM.csv
2025-11-14 09:51:28,143; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/NEM.csv
2025-11-14 09:51:28,152; INFO; pypromice.core.qc.github_data_issues; could not adjust p_u p_l not in dataset
2025-11-14 09:51:28,160; INFO; pypromice.core.qc.github_data_issues; could not adjust z_surf_1 not in dataset
2025-11-14 09:51:28,160; INFO; pypromice.core.qc.github_data_issues; could not adjust z_surf_2 not in dataset
2025-11-14 09:51:29,764; INFO; pypromice.io.write; Resampling to 10min
2025-11-14 09:51:29,957; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:51:33,416; INFO; pypromice.io.write; Written to L2_test/raw/NEM/NEM_10min.csv
2025-11-14 09:51:33,416; INFO; pypromice.io.write; Written to L2_test/raw/NEM/NEM_10min.nc
2025-11-14 09:51:33,911; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:51:34,014; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:51:34,755; INFO; pypromice.io.write; Written to L2_test/raw/NEM/NEM_hour.csv
2025-11-14 09:51:34,756; INFO; pypromice.io.write; Written to L2_test/raw/NEM/NEM_hour.nc

 ======== test join_l2 ========= 

2025-11-14 09:51:34,902; INFO; pypromice.pipeline.join_l2; NEM array loaded from L2_test/raw/NEM/NEM_hour.nc
2025-11-14 09:51:34,939; INFO; pypromice.pipeline.join_l2; NEM array loaded from L2_test/tx/NEM/NEM_hour.nc
2025-11-14 09:51:34,939; INFO; pypromice.pipeline.join_l2; Combining L2_test/raw/NEM/NEM_hour.nc with L2_test/tx/NEM/NEM_hour.nc...
2025-11-14 09:51:35,090; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:51:36,103; INFO; pypromice.io.write; Written to L2_test/level_2/NEM/NEM_hour.csv
2025-11-14 09:51:36,103; INFO; pypromice.io.write; Written to L2_test/level_2/NEM/NEM_hour.nc
2025-11-14 09:51:36,103; INFO; pypromice.pipeline.join_l2; Files saved to L2_test/level_2/NEM...

 ======== test l2tol3 ========= 

2025-11-14 09:51:36,146; WARNING; root; data_issues_path is missing. Using default data issues path: ../PROMICE-AWS-data-issues
2025-11-14 09:51:39,681; INFO; pypromice.pipeline.L2toL3; processing gps_lat with relocation on 2023-04-30T14:00:00
2025-11-14 09:51:39,689; INFO; pypromice.pipeline.L2toL3; processing gps_lon with relocation on 2023-04-30T14:00:00
2025-11-14 09:51:39,695; INFO; pypromice.pipeline.L2toL3; processing gps_alt with relocation on 2023-04-30T14:00:00
2025-11-14 09:51:39,717; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/NEM.csv
2025-11-14 09:51:39,728; INFO; pypromice.pipeline.L2toL3; Combining surface height
2025-11-14 09:51:39,729; INFO; pypromice.pipeline.L2toL3; -> did not find z_ice_surf
2025-11-14 09:51:39,729; INFO; pypromice.pipeline.L2toL3; -> no z_pt or accumulation site: averaging z_surf_1 and z_surf_2
2025-11-14 09:51:39,783; INFO; pypromice.pipeline.L2toL3; Calculating thermistor depth
2025-11-14 09:51:39,828; INFO; pypromice.pipeline.L2toL3; interpolating 10 m firn/ice temperature (on hourly values)
2025-11-14 09:51:43,323; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:51:43,458; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:51:44,760; INFO; pypromice.io.write; Written to L3_test/stations/NEM/NEM_hour.csv
2025-11-14 09:51:44,760; INFO; pypromice.io.write; Written to L3_test/stations/NEM/NEM_hour.nc
2025-11-14 09:51:44,864; INFO; pypromice.io.write; Resampling to 1D
2025-11-14 09:51:44,967; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:51:45,093; INFO; pypromice.io.write; Written to L3_test/stations/NEM/NEM_day.csv
