 ======== test join_l3 ========= 

KAN_U
KAN_U array loaded from L3_test/stations/KAN_U/KAN_U_hour.nc
2025-11-14 09:59:41,980; INFO; pypromice.pipeline.join_l3; joining KAN_U
2025-11-14 09:59:42,170; WARNING; pypromice.io.ingest.git; Error: fatal: not a git repository (or any of the parent directories): .git

2025-11-14 09:59:43,403; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:59:43,713; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:59:49,834; INFO; pypromice.io.write; Written to L3_test/sites/KAN_U/KAN_U_hour.csv
2025-11-14 09:59:49,834; INFO; pypromice.io.write; Written to L3_test/sites/KAN_U/KAN_U_hour.nc
2025-11-14 09:59:50,048; INFO; pypromice.io.write; Resampling to 1D
2025-11-14 09:59:50,153; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:59:50,461; INFO; pypromice.io.write; Written to L3_test/sites/KAN_U/KAN_U_day.csv
2025-11-14 09:59:50,461; INFO; pypromice.io.write; Written to L3_test/sites/KAN_U/KAN_U_day.nc
2025-11-14 09:59:50,671; INFO; pypromice.io.write; Resampling to MS
2025-11-14 09:59:50,768; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:59:50,848; INFO; pypromice.io.write; Written to L3_test/sites/KAN_U/KAN_U_month.csv
2025-11-14 09:59:50,848; INFO; pypromice.io.write; Written to L3_test/sites/KAN_U/KAN_U_month.nc
