 ======== test join_l3 ========= 

QAS_U
QAS_U array loaded from L3_test/stations/QAS_U/QAS_U_hour.nc
QAS_Uv3 array loaded from L3_test/stations/QAS_Uv3/QAS_Uv3_hour.nc
2025-11-14 10:00:39,393; INFO; pypromice.pipeline.join_l3; joining QAS_Uv3 QAS_U
2025-11-14 10:00:39,639; WARNING; pypromice.io.ingest.git; Error: fatal: not a git repository (or any of the parent directories): .git

2025-11-14 10:00:40,829; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 10:00:41,067; INFO; pypromice.io.write; Writing to files...
2025-11-14 10:00:46,650; INFO; pypromice.io.write; Written to L3_test/sites/QAS_U/QAS_U_hour.csv
2025-11-14 10:00:46,650; INFO; pypromice.io.write; Written to L3_test/sites/QAS_U/QAS_U_hour.nc
2025-11-14 10:00:46,834; INFO; pypromice.io.write; Resampling to 1D
2025-11-14 10:00:46,911; INFO; pypromice.io.write; Writing to files...
2025-11-14 10:00:47,182; INFO; pypromice.io.write; Written to L3_test/sites/QAS_U/QAS_U_day.csv
2025-11-14 10:00:47,182; INFO; pypromice.io.write; Written to L3_test/sites/QAS_U/QAS_U_day.nc
2025-11-14 10:00:47,354; INFO; pypromice.io.write; Resampling to MS
2025-11-14 10:00:47,425; INFO; pypromice.io.write; Writing to files...
2025-11-14 10:00:47,491; INFO; pypromice.io.write; Written to L3_test/sites/QAS_U/QAS_U_month.csv
2025-11-14 10:00:47,491; INFO; pypromice.io.write; Written to L3_test/sites/QAS_U/QAS_U_month.nc
