 ======== test join_l3 ========= 

KAN_L
KAN_L array loaded from L3_test/stations/KAN_L/KAN_L_hour.nc
KAN_Lv3 array loaded from L3_test/stations/KAN_Lv3/KAN_Lv3_hour.nc
2025-11-14 09:59:41,420; INFO; pypromice.pipeline.join_l3; joining KAN_Lv3 KAN_L
2025-11-14 09:59:41,599; WARNING; pypromice.io.ingest.git; Error: fatal: not a git repository (or any of the parent directories): .git

2025-11-14 09:59:42,664; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:59:42,913; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:59:49,631; INFO; pypromice.io.write; Written to L3_test/sites/KAN_L/KAN_L_hour.csv
2025-11-14 09:59:49,632; INFO; pypromice.io.write; Written to L3_test/sites/KAN_L/KAN_L_hour.nc
2025-11-14 09:59:49,807; INFO; pypromice.io.write; Resampling to 1D
2025-11-14 09:59:49,884; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:59:50,176; INFO; pypromice.io.write; Written to L3_test/sites/KAN_L/KAN_L_day.csv
2025-11-14 09:59:50,176; INFO; pypromice.io.write; Written to L3_test/sites/KAN_L/KAN_L_day.nc
2025-11-14 09:59:50,365; INFO; pypromice.io.write; Resampling to MS
2025-11-14 09:59:50,436; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:59:50,500; INFO; pypromice.io.write; Written to L3_test/sites/KAN_L/KAN_L_month.csv
2025-11-14 09:59:50,500; INFO; pypromice.io.write; Written to L3_test/sites/KAN_L/KAN_L_month.nc
