 ======== test join_l3 ========= 

THU_L
THU_L array loaded from L3_test/stations/THU_L/THU_L_hour.nc
2025-11-14 10:01:13,155; INFO; pypromice.pipeline.join_l3; joining THU_L
2025-11-14 10:01:13,276; WARNING; pypromice.io.ingest.git; Error: fatal: not a git repository (or any of the parent directories): .git

2025-11-14 10:01:14,239; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 10:01:14,456; INFO; pypromice.io.write; Writing to files...
2025-11-14 10:01:19,554; INFO; pypromice.io.write; Written to L3_test/sites/THU_L/THU_L_hour.csv
2025-11-14 10:01:19,554; INFO; pypromice.io.write; Written to L3_test/sites/THU_L/THU_L_hour.nc
2025-11-14 10:01:19,685; INFO; pypromice.io.write; Resampling to 1D
2025-11-14 10:01:19,760; INFO; pypromice.io.write; Writing to files...
2025-11-14 10:01:20,006; INFO; pypromice.io.write; Written to L3_test/sites/THU_L/THU_L_day.csv
2025-11-14 10:01:20,006; INFO; pypromice.io.write; Written to L3_test/sites/THU_L/THU_L_day.nc
2025-11-14 10:01:20,140; INFO; pypromice.io.write; Resampling to MS
2025-11-14 10:01:20,210; INFO; pypromice.io.write; Writing to files...
2025-11-14 10:01:20,280; INFO; pypromice.io.write; Written to L3_test/sites/THU_L/THU_L_month.csv
2025-11-14 10:01:20,281; INFO; pypromice.io.write; Written to L3_test/sites/THU_L/THU_L_month.nc
