QAS_Uv3

 ======== test get_l2 ========= 

2025-11-14 09:53:55,671; INFO; pypromice.io.write; Written to L2_test/raw/QAS_Uv3/QAS_Uv3_hour.csv
2025-11-14 09:53:55,671; INFO; pypromice.io.write; Written to L2_test/raw/QAS_Uv3/QAS_Uv3_hour.nc

 ======== test join_l2 ========= 

2025-11-14 09:53:55,800; INFO; pypromice.pipeline.join_l2; QAS_Uv3 array loaded from L2_test/raw/QAS_Uv3/QAS_Uv3_hour.nc
2025-11-14 09:53:55,832; INFO; pypromice.pipeline.join_l2; QAS_Uv3 array loaded from L2_test/tx/QAS_Uv3/QAS_Uv3_hour.nc
2025-11-14 09:53:55,832; INFO; pypromice.pipeline.join_l2; Combining L2_test/raw/QAS_Uv3/QAS_Uv3_hour.nc with L2_test/tx/QAS_Uv3/QAS_Uv3_hour.nc...
2025-11-14 09:53:55,949; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:53:56,992; INFO; pypromice.io.write; Written to L2_test/level_2/QAS_Uv3/QAS_Uv3_hour.csv
2025-11-14 09:53:56,992; INFO; pypromice.io.write; Written to L2_test/level_2/QAS_Uv3/QAS_Uv3_hour.nc
2025-11-14 09:53:56,992; INFO; pypromice.pipeline.join_l2; Files saved to L2_test/level_2/QAS_Uv3...

 ======== test l2tol3 ========= 

2025-11-14 09:53:57,029; WARNING; root; data_issues_path is missing. Using default data issues path: ../PROMICE-AWS-data-issues
2025-11-14 09:53:58,872; INFO; pypromice.pipeline.L2toL3; processing gps_lat with relocation on 2022-09-01T00:00:00
2025-11-14 09:53:58,880; INFO; pypromice.pipeline.L2toL3; processing gps_lon with relocation on 2022-09-01T00:00:00
2025-11-14 09:53:58,886; INFO; pypromice.pipeline.L2toL3; processing gps_alt with relocation on 2022-09-01T00:00:00
2025-11-14 09:53:58,908; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/QAS_Uv3.csv
2025-11-14 09:53:58,927; INFO; pypromice.pipeline.L2toL3; Combining surface height
2025-11-14 09:53:58,927; INFO; pypromice.pipeline.L2toL3; -> ablation site
2025-11-14 09:53:59,197; INFO; pypromice.pipeline.L2toL3; surface height combination finished
2025-11-14 09:53:59,236; INFO; pypromice.pipeline.L2toL3; Calculating thermistor depth
2025-11-14 09:53:59,280; INFO; pypromice.pipeline.L2toL3; interpolating 10 m firn/ice temperature (on hourly values)
2025-11-14 09:54:00,978; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:54:01,091; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:54:02,552; INFO; pypromice.io.write; Written to L3_test/stations/QAS_Uv3/QAS_Uv3_hour.csv
2025-11-14 09:54:02,553; INFO; pypromice.io.write; Written to L3_test/stations/QAS_Uv3/QAS_Uv3_hour.nc
2025-11-14 09:54:02,642; INFO; pypromice.io.write; Resampling to 1D
2025-11-14 09:54:02,724; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:54:02,829; INFO; pypromice.io.write; Written to L3_test/stations/QAS_Uv3/QAS_Uv3_day.csv
2025-11-14 09:54:02,829; INFO; pypromice.io.write; Written to L3_test/stations/QAS_Uv3/QAS_Uv3_day.nc
2025-11-14 09:54:02,918; INFO; pypromice.io.write; Resampling to MS
2025-11-14 09:54:02,999; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:54:03,070; INFO; pypromice.io.write; Written to L3_test/stations/QAS_Uv3/QAS_Uv3_month.csv
2025-11-14 09:54:03,070; INFO; pypromice.io.write; Written to L3_test/stations/QAS_Uv3/QAS_Uv3_month.nc
