 ======== test join_l3 ========= 

LYN_T
LYN_T array loaded from L3_test/stations/LYN_T/LYN_T_hour.nc
2025-11-14 09:59:56,379; INFO; pypromice.pipeline.join_l3; joining LYN_T
2025-11-14 09:59:56,502; WARNING; pypromice.io.ingest.git; Error: fatal: not a git repository (or any of the parent directories): .git

2025-11-14 09:59:56,734; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:59:56,860; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:59:57,808; INFO; pypromice.io.write; Written to L3_test/sites/LYN_T/LYN_T_hour.csv
2025-11-14 09:59:57,808; INFO; pypromice.io.write; Written to L3_test/sites/LYN_T/LYN_T_hour.nc
2025-11-14 09:59:57,869; INFO; pypromice.io.write; Resampling to 1D
2025-11-14 09:59:57,941; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:59:58,052; INFO; pypromice.io.write; Written to L3_test/sites/LYN_T/LYN_T_day.csv
2025-11-14 09:59:58,052; INFO; pypromice.io.write; Written to L3_test/sites/LYN_T/LYN_T_day.nc
2025-11-14 09:59:58,104; INFO; pypromice.io.write; Resampling to MS
2025-11-14 09:59:58,181; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:59:58,255; INFO; pypromice.io.write; Written to L3_test/sites/LYN_T/LYN_T_month.csv
2025-11-14 09:59:58,255; INFO; pypromice.io.write; Written to L3_test/sites/LYN_T/LYN_T_month.nc
