 ======== test join_l3 ========= 

NUK_P
NUK_P array loaded from L3_test/stations/NUK_P/NUK_P_hour.nc
2025-11-14 10:00:28,699; INFO; pypromice.pipeline.join_l3; joining NUK_P
2025-11-14 10:00:28,826; WARNING; pypromice.io.ingest.git; Error: fatal: not a git repository (or any of the parent directories): .git

2025-11-14 10:00:28,979; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 10:00:29,062; INFO; pypromice.io.write; Writing to files...
2025-11-14 10:00:29,320; INFO; pypromice.io.write; Written to L3_test/sites/NUK_P/NUK_P_hour.csv
2025-11-14 10:00:29,320; INFO; pypromice.io.write; Written to L3_test/sites/NUK_P/NUK_P_hour.nc
2025-11-14 10:00:29,358; INFO; pypromice.io.write; Resampling to 1D
2025-11-14 10:00:29,438; INFO; pypromice.io.write; Writing to files...
2025-11-14 10:00:29,500; INFO; pypromice.io.write; Written to L3_test/sites/NUK_P/NUK_P_day.csv
2025-11-14 10:00:29,500; INFO; pypromice.io.write; Written to L3_test/sites/NUK_P/NUK_P_day.nc
2025-11-14 10:00:29,541; INFO; pypromice.io.write; Resampling to MS
2025-11-14 10:00:29,617; INFO; pypromice.io.write; Writing to files...
2025-11-14 10:00:29,663; INFO; pypromice.io.write; Written to L3_test/sites/NUK_P/NUK_P_month.csv
2025-11-14 10:00:29,663; INFO; pypromice.io.write; Written to L3_test/sites/NUK_P/NUK_P_month.nc
