KPC_U

 ======== test get_l2 ========= 

2025-11-14 09:48:48,942; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from KPC_U_2019_raw_SlimTableMem.txt
2025-11-14 09:48:48,951; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KPC_U/KPC_U_2022_raw.txt
2025-11-14 09:48:49,373; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KPC_U/KPC_U_2022_raw.txt
2025-11-14 09:48:50,401; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from KPC_U_2022_raw.txt
2025-11-14 09:48:50,452; INFO; pypromice.pipeline.aws; Level 1 processing...
2025-11-14 09:48:50,785; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:48:52,079; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:48:52,264; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:48:52,423; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:48:52,635; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:48:53,514; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:48:54,654; INFO; pypromice.pipeline.aws; Level 2 processing...
2025-11-14 09:48:54,676; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/KPC_U.csv
2025-11-14 09:48:54,701; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/KPC_U.csv
2025-11-14 09:48:54,767; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/KPC_U.csv
2025-11-14 09:48:54,811; INFO; pypromice.core.qc.github_data_issues; could not adjust z_surf_1 not in dataset
2025-11-14 09:48:54,811; INFO; pypromice.core.qc.github_data_issues; could not adjust z_surf_2 not in dataset
2025-11-14 09:49:01,632; INFO; pypromice.io.write; Resampling to 10min
2025-11-14 09:49:02,156; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:49:17,174; INFO; pypromice.io.write; Written to L2_test/raw/KPC_U/KPC_U_10min.csv
2025-11-14 09:49:17,174; INFO; pypromice.io.write; Written to L2_test/raw/KPC_U/KPC_U_10min.nc
2025-11-14 09:49:19,446; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:49:19,573; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:49:22,643; INFO; pypromice.io.write; Written to L2_test/raw/KPC_U/KPC_U_hour.csv
2025-11-14 09:49:22,643; INFO; pypromice.io.write; Written to L2_test/raw/KPC_U/KPC_U_hour.nc

 ======== test join_l2 ========= 

2025-11-14 09:49:22,782; INFO; pypromice.pipeline.join_l2; KPC_U array loaded from L2_test/raw/KPC_U/KPC_U_hour.nc
2025-11-14 09:49:22,814; INFO; pypromice.pipeline.join_l2; KPC_U array loaded from L2_test/tx/KPC_U/KPC_U_hour.nc
2025-11-14 09:49:22,814; INFO; pypromice.pipeline.join_l2; Combining L2_test/raw/KPC_U/KPC_U_hour.nc with L2_test/tx/KPC_U/KPC_U_hour.nc...
2025-11-14 09:49:23,013; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:49:26,512; INFO; pypromice.io.write; Written to L2_test/level_2/KPC_U/KPC_U_hour.csv
2025-11-14 09:49:26,512; INFO; pypromice.io.write; Written to L2_test/level_2/KPC_U/KPC_U_hour.nc
2025-11-14 09:49:26,513; INFO; pypromice.pipeline.join_l2; Files saved to L2_test/level_2/KPC_U...

 ======== test l2tol3 ========= 

2025-11-14 09:49:26,558; WARNING; root; data_issues_path is missing. Using default data issues path: ../PROMICE-AWS-data-issues
2025-11-14 09:49:30,185; INFO; pypromice.pipeline.L2toL3; processing gps_lat with relocation on 2012-07-03T00:00:00, 2019-06-21T00:00:00
2025-11-14 09:49:30,198; INFO; pypromice.pipeline.L2toL3; processing gps_lon with relocation on 2012-07-03T00:00:00, 2019-06-21T00:00:00
2025-11-14 09:49:30,207; INFO; pypromice.pipeline.L2toL3; processing gps_alt with relocation on 2012-07-03T00:00:00, 2019-06-21T00:00:00
2025-11-14 09:49:30,242; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/KPC_U.csv
2025-11-14 09:49:30,265; INFO; pypromice.pipeline.L2toL3; Combining surface height
2025-11-14 09:49:30,265; INFO; pypromice.pipeline.L2toL3; -> ablation site
2025-11-14 09:49:31,006; INFO; pypromice.pipeline.L2toL3; surface height combination finished
2025-11-14 09:49:31,087; INFO; pypromice.pipeline.L2toL3; Calculating thermistor depth
2025-11-14 09:49:31,102; INFO; pypromice.pipeline.L2toL3; No maintenance at KPC_U
2025-11-14 09:49:31,152; INFO; pypromice.pipeline.L2toL3; interpolating 10 m firn/ice temperature (on hourly values)
2025-11-14 09:49:50,037; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:49:50,227; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:49:55,064; INFO; pypromice.io.write; Written to L3_test/stations/KPC_U/KPC_U_hour.csv
2025-11-14 09:49:55,065; INFO; pypromice.io.write; Written to L3_test/stations/KPC_U/KPC_U_hour.nc
2025-11-14 09:49:55,281; INFO; pypromice.io.write; Resampling to 1D
2025-11-14 09:49:55,362; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:49:55,581; INFO; pypromice.io.write; Written to L3_test/stations/KPC_U/KPC_U_day.csv
2025-11-14 09:49:55,582; INFO; pypromice.io.write; Written to L3_test/stations/KPC_U/KPC_U_day.nc
2025-11-14 09:49:55,775; INFO; pypromice.io.write; Resampling to MS
2025-11-14 09:49:55,850; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:49:55,910; INFO; pypromice.io.write; Written to L3_test/stations/KPC_U/KPC_U_month.csv
2025-11-14 09:49:55,910; INFO; pypromice.io.write; Written to L3_test/stations/KPC_U/KPC_U_month.nc
