 ======== test join_l3 ========= 

NUK_U
NUK_U array loaded from L3_test/stations/NUK_U/NUK_U_hour.nc
NUK_Uv3 array loaded from L3_test/stations/NUK_Uv3/NUK_Uv3_hour.nc
2025-11-14 10:00:28,709; INFO; pypromice.pipeline.join_l3; joining NUK_Uv3 NUK_U
2025-11-14 10:00:28,885; WARNING; pypromice.io.ingest.git; Error: fatal: not a git repository (or any of the parent directories): .git

2025-11-14 10:00:29,904; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 10:00:30,113; INFO; pypromice.io.write; Writing to files...
2025-11-14 10:00:35,651; INFO; pypromice.io.write; Written to L3_test/sites/NUK_U/NUK_U_hour.csv
2025-11-14 10:00:35,651; INFO; pypromice.io.write; Written to L3_test/sites/NUK_U/NUK_U_hour.nc
2025-11-14 10:00:35,845; INFO; pypromice.io.write; Resampling to 1D
2025-11-14 10:00:35,919; INFO; pypromice.io.write; Writing to files...
2025-11-14 10:00:36,184; INFO; pypromice.io.write; Written to L3_test/sites/NUK_U/NUK_U_day.csv
2025-11-14 10:00:36,184; INFO; pypromice.io.write; Written to L3_test/sites/NUK_U/NUK_U_day.nc
2025-11-14 10:00:36,344; INFO; pypromice.io.write; Resampling to MS
2025-11-14 10:00:36,414; INFO; pypromice.io.write; Writing to files...
2025-11-14 10:00:36,477; INFO; pypromice.io.write; Written to L3_test/sites/NUK_U/NUK_U_month.csv
2025-11-14 10:00:36,477; INFO; pypromice.io.write; Written to L3_test/sites/NUK_U/NUK_U_month.nc
