 ======== test join_l3 ========= 

KAN_T
KAN_Tv3 array loaded from L3_test/stations/KAN_Tv3/KAN_Tv3_hour.nc
2025-11-14 09:59:41,812; INFO; pypromice.pipeline.join_l3; joining KAN_Tv3
2025-11-14 09:59:41,952; WARNING; pypromice.io.ingest.git; Error: fatal: not a git repository (or any of the parent directories): .git

2025-11-14 09:59:42,172; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:59:42,275; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:59:42,963; INFO; pypromice.io.write; Written to L3_test/sites/KAN_T/KAN_T_hour.csv
2025-11-14 09:59:42,964; INFO; pypromice.io.write; Written to L3_test/sites/KAN_T/KAN_T_hour.nc
2025-11-14 09:59:43,013; INFO; pypromice.io.write; Resampling to 1D
2025-11-14 09:59:43,089; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:59:43,214; INFO; pypromice.io.write; Written to L3_test/sites/KAN_T/KAN_T_day.csv
2025-11-14 09:59:43,214; INFO; pypromice.io.write; Written to L3_test/sites/KAN_T/KAN_T_day.nc
2025-11-14 09:59:43,260; INFO; pypromice.io.write; Resampling to MS
2025-11-14 09:59:43,333; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:59:43,431; INFO; pypromice.io.write; Written to L3_test/sites/KAN_T/KAN_T_month.csv
2025-11-14 09:59:43,431; INFO; pypromice.io.write; Written to L3_test/sites/KAN_T/KAN_T_month.nc
