NUK_L

 ======== test get_l2 ========= 

2025-11-14 09:51:28,967; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/NUK_L/NUK_L_2020_raw.txt
2025-11-14 09:51:29,081; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/NUK_L/NUK_L_2020_raw.txt
2025-11-14 09:51:29,317; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from NUK_L_2020_raw.txt
2025-11-14 09:51:29,324; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/NUK_L/NUK_L_2021_raw.txt
2025-11-14 09:51:29,445; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/NUK_L/NUK_L_2021_raw.txt
2025-11-14 09:51:29,695; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from NUK_L_2021_raw.txt
2025-11-14 09:51:29,701; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/NUK_L/NUK_L_2022_raw.txt
2025-11-14 09:51:29,819; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/NUK_L/NUK_L_2022_raw.txt
2025-11-14 09:51:30,049; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from NUK_L_2022_raw.txt
2025-11-14 09:51:30,054; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/raw/NUK_L/NUK_L_2022_raw_transmitted.txt
2025-11-14 09:51:30,073; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from NUK_L_2022_raw_transmitted.txt
2025-11-14 09:51:30,348; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/NUK_L/NUK_L_2023_raw.txt
2025-11-14 09:51:30,357; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/NUK_L/NUK_L_2023_raw.txt
2025-11-14 09:51:30,393; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from NUK_L_2023_raw.txt
2025-11-14 09:51:30,399; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/NUK_L/NUK_L_2025_raw.txt
2025-11-14 09:51:30,609; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/NUK_L/NUK_L_2025_raw.txt
2025-11-14 09:51:31,038; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from NUK_L_2025_raw.txt
2025-11-14 09:51:31,142; INFO; pypromice.pipeline.aws; Level 1 processing...
2025-11-14 09:51:31,250; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:51:31,418; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:51:31,578; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:51:31,756; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:51:31,918; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:51:32,146; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
