NUK_K

 ======== test get_l2 ========= 

2025-11-14 09:51:19,483; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/NUK_K_300234061299270_1.txt
2025-11-14 09:51:19,534; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from NUK_K_300234061299270_1.txt
2025-11-14 09:51:19,540; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/NUK_K_300234061299270_2.txt
2025-11-14 09:51:19,575; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from NUK_K_300234061299270_2.txt
2025-11-14 09:51:19,576; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/NUK_K_300534062923450_3.txt
2025-11-14 09:51:19,646; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from NUK_K_300534062923450_3.txt
2025-11-14 09:51:19,658; INFO; pypromice.pipeline.aws; Level 1 processing...
2025-11-14 09:51:19,772; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:51:19,964; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:51:20,139; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:51:20,350; INFO; pypromice.pipeline.aws; Level 2 processing...
2025-11-14 09:51:20,352; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/NUK_K.csv
2025-11-14 09:51:20,360; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/NUK_K.csv
2025-11-14 09:51:20,406; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/NUK_K.csv
2025-11-14 09:51:20,447; INFO; pypromice.core.qc.github_data_issues; ---> 2016-10-01 00:00:00 2016-10-19 00:00:00 z_boom_cor_u min_filter 1.9
2025-11-14 09:51:20,447; INFO; pypromice.core.qc.github_data_issues; Time range does not intersect with dataset
2025-11-14 09:51:20,453; INFO; pypromice.core.qc.github_data_issues; could not adjust z_ice_surf not in dataset
2025-11-14 09:51:20,455; INFO; pypromice.core.qc.github_data_issues; ---> 2016-10-01 00:00:00 2016-10-19 00:00:00 z_stake_cor min_filter 1.9
2025-11-14 09:51:20,455; INFO; pypromice.core.qc.github_data_issues; Time range does not intersect with dataset
2025-11-14 09:51:20,458; INFO; pypromice.core.qc.github_data_issues; could not adjust z_surf_1 not in dataset
2025-11-14 09:51:20,458; INFO; pypromice.core.qc.github_data_issues; could not adjust z_surf_2 not in dataset
2025-11-14 09:51:21,845; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:51:21,925; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:51:22,827; INFO; pypromice.io.write; Written to L2_test/tx/NUK_K/NUK_K_hour.csv
2025-11-14 09:51:22,827; INFO; pypromice.io.write; Written to L2_test/tx/NUK_K/NUK_K_hour.nc
2025-11-14 09:51:23,128; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/NUK_K/NUK_K_2015_raw_2.txt
2025-11-14 09:51:23,310; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/NUK_K/NUK_K_2015_raw_2.txt
2025-11-14 09:51:23,684; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from NUK_K_2015_raw_2.txt
2025-11-14 09:51:23,692; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/NUK_K/NUK_K_2016_raw.txt
2025-11-14 09:51:23,859; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/NUK_K/NUK_K_2016_raw.txt
2025-11-14 09:51:24,302; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from NUK_K_2016_raw.txt
2025-11-14 09:51:24,429; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/NUK_K/NUK_K_2017_raw_SlimTableMem_1.txt
2025-11-14 09:51:24,433; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/NUK_K/NUK_K_2017_raw_SlimTableMem_1.txt
2025-11-14 09:51:24,453; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from NUK_K_2017_raw_SlimTableMem_1.txt
2025-11-14 09:51:24,460; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/NUK_K/NUK_K_2017_raw_1.txt
2025-11-14 09:51:24,544; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/NUK_K/NUK_K_2017_raw_1.txt
2025-11-14 09:51:24,712; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from NUK_K_2017_raw_1.txt
2025-11-14 09:51:25,838; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/NUK_K/NUK_K_2017_raw_2.txt
2025-11-14 09:51:25,887; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/NUK_K/NUK_K_2017_raw_2.txt
2025-11-14 09:51:25,998; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from NUK_K_2017_raw_2.txt
2025-11-14 09:51:26,004; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/NUK_K/NUK_K_2019_raw.txt
2025-11-14 09:51:26,404; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/NUK_K/NUK_K_2019_raw.txt
2025-11-14 09:51:27,298; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from NUK_K_2019_raw.txt
2025-11-14 09:51:27,307; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/NUK_K/NUK_K_2020_raw.txt
2025-11-14 09:51:27,451; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/NUK_K/NUK_K_2020_raw.txt
2025-11-14 09:51:27,794; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from NUK_K_2020_raw.txt
2025-11-14 09:51:27,802; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/NUK_K/NUK_K_2021_raw.txt
2025-11-14 09:51:27,973; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/NUK_K/NUK_K_2021_raw.txt
2025-11-14 09:51:28,261; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from NUK_K_2021_raw.txt
2025-11-14 09:51:28,269; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/raw/NUK_K/NUK_K_2021_raw_transmitted.txt
2025-11-14 09:51:28,284; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from NUK_K_2021_raw_transmitted.txt
2025-11-14 09:51:28,294; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/NUK_K/NUK_K_2025_DataTable10min.dat
2025-11-14 09:51:28,410; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/NUK_K/NUK_K_2025_DataTable10min.dat
2025-11-14 09:51:28,645; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from NUK_K_2025_DataTable10min.dat
2025-11-14 09:51:28,692; INFO; pypromice.pipeline.aws; Level 1 processing...
2025-11-14 09:51:28,956; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:51:29,636; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:51:29,814; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:51:30,139; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
