KAN_U

 ======== test get_l2 ========= 

2025-11-14 09:48:41,340; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/KAN_U_300534062415410_1.txt
2025-11-14 09:48:41,443; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from KAN_U_300534062415410_1.txt
2025-11-14 09:48:41,444; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/KAN_U_300534062415410_2.txt
2025-11-14 09:48:41,498; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from KAN_U_300534062415410_2.txt
2025-11-14 09:48:41,507; INFO; pypromice.pipeline.aws; Level 1 processing...
2025-11-14 09:48:41,696; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:48:41,943; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:48:42,099; INFO; pypromice.pipeline.aws; Level 2 processing...
2025-11-14 09:48:42,101; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/KAN_U.csv
2025-11-14 09:48:42,110; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/KAN_U.csv
2025-11-14 09:48:42,271; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/KAN_U.csv
2025-11-14 09:48:42,287; INFO; pypromice.core.qc.github_data_issues; ---> 2023-01-01 00:00:00 2023-11-01 00:00:00 dlr max_filter 400.0
2025-11-14 09:48:42,287; INFO; pypromice.core.qc.github_data_issues; Time range does not intersect with dataset
2025-11-14 09:48:42,294; INFO; pypromice.core.qc.github_data_issues; ---> 2023-01-01 00:00:00 2023-11-01 00:00:00 p_u max_filter 900.0
2025-11-14 09:48:42,294; INFO; pypromice.core.qc.github_data_issues; Time range does not intersect with dataset
2025-11-14 09:48:42,297; INFO; pypromice.core.qc.github_data_issues; ---> 2023-01-01 00:00:00 2023-11-01 00:00:00 t_u max_filter 13.8
2025-11-14 09:48:42,297; INFO; pypromice.core.qc.github_data_issues; Time range does not intersect with dataset
2025-11-14 09:48:42,300; INFO; pypromice.core.qc.github_data_issues; ---> 2023-01-01 00:00:00 2023-11-01 00:00:00 ulr max_filter 400.0
2025-11-14 09:48:42,300; INFO; pypromice.core.qc.github_data_issues; Time range does not intersect with dataset
2025-11-14 09:48:42,305; INFO; pypromice.core.qc.github_data_issues; ---> 2013-11-01 00:00:00 2014-02-01 00:00:00 z_boom_cor_u min_filter 1.4
2025-11-14 09:48:42,305; INFO; pypromice.core.qc.github_data_issues; Time range does not intersect with dataset
2025-11-14 09:48:42,307; INFO; pypromice.core.qc.github_data_issues; ---> 2014-12-01 00:00:00 2015-03-01 00:00:00 z_boom_cor_u min_filter 0.76
