LYN_T

 ======== test get_l2 ========= 

2025-11-14 09:50:16,085; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/LYN_T_300234066313290_1.txt
2025-11-14 09:50:16,186; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from LYN_T_300234066313290_1.txt
2025-11-14 09:50:16,194; INFO; pypromice.pipeline.aws; Level 1 processing...
2025-11-14 09:50:16,357; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:50:16,445; INFO; pypromice.pipeline.aws; Level 2 processing...
2025-11-14 09:50:16,447; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/LYN_T.csv
2025-11-14 09:50:16,454; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/LYN_T.csv
2025-11-14 09:50:16,516; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/LYN_T.csv
2025-11-14 09:50:17,270; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:50:17,335; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:50:17,994; INFO; pypromice.io.write; Written to L2_test/tx/LYN_T/LYN_T_hour.csv
2025-11-14 09:50:17,995; INFO; pypromice.io.write; Written to L2_test/tx/LYN_T/LYN_T_hour.nc

 ======== test join_l2 ========= 

2025-11-14 09:50:18,286; INFO; pypromice.pipeline.join_l2; LYN_T array loaded from L2_test/tx/LYN_T/LYN_T_hour.nc
2025-11-14 09:50:18,287; INFO; pypromice.pipeline.join_l2; Only one file found L2_test/tx/LYN_T/LYN_T_hour.nc...
2025-11-14 09:50:18,369; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:50:18,966; INFO; pypromice.io.write; Written to L2_test/level_2/LYN_T/LYN_T_hour.csv
2025-11-14 09:50:18,966; INFO; pypromice.io.write; Written to L2_test/level_2/LYN_T/LYN_T_hour.nc
2025-11-14 09:50:18,967; INFO; pypromice.pipeline.join_l2; Files saved to L2_test/level_2/LYN_T...

 ======== test l2tol3 ========= 

2025-11-14 09:50:19,009; WARNING; root; data_issues_path is missing. Using default data issues path: ../PROMICE-AWS-data-issues
2025-11-14 09:50:20,404; INFO; pypromice.pipeline.L2toL3; processing gps_lat without relocation
2025-11-14 09:50:20,407; INFO; pypromice.pipeline.L2toL3; processing gps_lon without relocation
2025-11-14 09:50:20,410; INFO; pypromice.pipeline.L2toL3; processing gps_alt without relocation
2025-11-14 09:50:20,432; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/LYN_T.csv
2025-11-14 09:50:20,438; INFO; pypromice.pipeline.L2toL3; Combining surface height
2025-11-14 09:50:20,438; INFO; pypromice.pipeline.L2toL3; -> did not find z_ice_surf
2025-11-14 09:50:20,438; INFO; pypromice.pipeline.L2toL3; -> ablation site
2025-11-14 09:50:20,547; INFO; pypromice.pipeline.L2toL3; surface height combination finished
2025-11-14 09:50:20,575; INFO; pypromice.pipeline.L2toL3; Calculating thermistor depth
2025-11-14 09:50:20,581; INFO; pypromice.pipeline.L2toL3; No maintenance at LYN_T
2025-11-14 09:50:20,592; INFO; pypromice.pipeline.L2toL3; interpolating 10 m firn/ice temperature (on hourly values)
2025-11-14 09:50:22,744; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:50:22,836; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:50:23,443; INFO; pypromice.io.write; Written to L3_test/stations/LYN_T/LYN_T_hour.csv
2025-11-14 09:50:23,443; INFO; pypromice.io.write; Written to L3_test/stations/LYN_T/LYN_T_hour.nc
2025-11-14 09:50:23,506; INFO; pypromice.io.write; Resampling to 1D
2025-11-14 09:50:23,582; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:50:23,674; INFO; pypromice.io.write; Written to L3_test/stations/LYN_T/LYN_T_day.csv
2025-11-14 09:50:23,674; INFO; pypromice.io.write; Written to L3_test/stations/LYN_T/LYN_T_day.nc
2025-11-14 09:50:23,734; INFO; pypromice.io.write; Resampling to MS
2025-11-14 09:50:23,808; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:50:23,882; INFO; pypromice.io.write; Written to L3_test/stations/LYN_T/LYN_T_month.csv
2025-11-14 09:50:23,883; INFO; pypromice.io.write; Written to L3_test/stations/LYN_T/LYN_T_month.nc
