 ======== test join_l3 ========= 

UWN
UWN array loaded from L3_test/stations/UWN/UWN_hour.nc
2025-11-14 10:01:28,780; INFO; pypromice.pipeline.join_l3; joining UWN
2025-11-14 10:01:28,911; WARNING; pypromice.io.ingest.git; Error: fatal: not a git repository (or any of the parent directories): .git

2025-11-14 10:01:29,370; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 10:01:29,495; INFO; pypromice.io.write; Writing to files...
2025-11-14 10:01:31,018; INFO; pypromice.io.write; Written to L3_test/sites/UWN/UWN_hour.csv
2025-11-14 10:01:31,018; INFO; pypromice.io.write; Written to L3_test/sites/UWN/UWN_hour.nc
2025-11-14 10:01:31,110; INFO; pypromice.io.write; Resampling to 1D
2025-11-14 10:01:31,185; INFO; pypromice.io.write; Writing to files...
2025-11-14 10:01:31,285; INFO; pypromice.io.write; Written to L3_test/sites/UWN/UWN_day.csv
2025-11-14 10:01:31,285; INFO; pypromice.io.write; Written to L3_test/sites/UWN/UWN_day.nc
2025-11-14 10:01:31,350; INFO; pypromice.io.write; Resampling to MS
2025-11-14 10:01:31,417; INFO; pypromice.io.write; Writing to files...
2025-11-14 10:01:31,468; INFO; pypromice.io.write; Written to L3_test/sites/UWN/UWN_month.csv
2025-11-14 10:01:31,468; INFO; pypromice.io.write; Written to L3_test/sites/UWN/UWN_month.nc
