 ======== test join_l3 ========= 

CEN
CEN1 array loaded from L3_test/stations/CEN1/CEN1_hour.nc
GITS array loaded from ../GC-Net-Level-1-data-processing/L1/hourly/GITS.csv
CEN2 array loaded from L3_test/stations/CEN2/CEN2_hour.nc
2025-11-14 09:59:25,900; INFO; pypromice.pipeline.join_l3; joining CEN2 CEN1 GITS
2025-11-14 09:59:26,329; WARNING; pypromice.io.ingest.git; Error: fatal: not a git repository (or any of the parent directories): .git

2025-11-14 09:59:28,831; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:59:29,242; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:59:37,557; INFO; pypromice.io.write; Written to L3_test/sites/CEN/CEN_hour.csv
2025-11-14 09:59:37,557; INFO; pypromice.io.write; Written to L3_test/sites/CEN/CEN_hour.nc
2025-11-14 09:59:37,913; INFO; pypromice.io.write; Resampling to 1D
2025-11-14 09:59:38,021; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:59:38,435; INFO; pypromice.io.write; Written to L3_test/sites/CEN/CEN_day.csv
2025-11-14 09:59:38,435; INFO; pypromice.io.write; Written to L3_test/sites/CEN/CEN_day.nc
2025-11-14 09:59:38,786; INFO; pypromice.io.write; Resampling to MS
2025-11-14 09:59:38,884; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:59:38,976; INFO; pypromice.io.write; Written to L3_test/sites/CEN/CEN_month.csv
2025-11-14 09:59:38,976; INFO; pypromice.io.write; Written to L3_test/sites/CEN/CEN_month.nc
