 ======== test join_l3 ========= 

TUN
Tunu-N array loaded from ../GC-Net-Level-1-data-processing/L1/hourly/Tunu-N.csv
TUN array loaded from L3_test/stations/TUN/TUN_hour.nc
2025-11-14 10:01:14,347; INFO; pypromice.pipeline.join_l3; joining TUN Tunu-N
2025-11-14 10:01:14,682; WARNING; pypromice.io.ingest.git; Error: fatal: not a git repository (or any of the parent directories): .git

2025-11-14 10:01:16,723; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 10:01:17,095; INFO; pypromice.io.write; Writing to files...
2025-11-14 10:01:25,492; INFO; pypromice.io.write; Written to L3_test/sites/TUN/TUN_hour.csv
2025-11-14 10:01:25,492; INFO; pypromice.io.write; Written to L3_test/sites/TUN/TUN_hour.nc
2025-11-14 10:01:25,802; INFO; pypromice.io.write; Resampling to 1D
2025-11-14 10:01:25,905; INFO; pypromice.io.write; Writing to files...
2025-11-14 10:01:26,310; INFO; pypromice.io.write; Written to L3_test/sites/TUN/TUN_day.csv
2025-11-14 10:01:26,311; INFO; pypromice.io.write; Written to L3_test/sites/TUN/TUN_day.nc
2025-11-14 10:01:26,677; INFO; pypromice.io.write; Resampling to MS
2025-11-14 10:01:26,771; INFO; pypromice.io.write; Writing to files...
2025-11-14 10:01:26,856; INFO; pypromice.io.write; Written to L3_test/sites/TUN/TUN_month.csv
2025-11-14 10:01:26,856; INFO; pypromice.io.write; Written to L3_test/sites/TUN/TUN_month.nc
