 ======== test join_l3 ========= 

HUM
Humboldt array loaded from ../GC-Net-Level-1-data-processing/L1/hourly/Humboldt.csv
HUM array loaded from L3_test/stations/HUM/HUM_hour.nc
2025-11-14 09:59:26,109; INFO; pypromice.pipeline.join_l3; joining HUM Humboldt
2025-11-14 09:59:26,414; WARNING; pypromice.io.ingest.git; Error: fatal: not a git repository (or any of the parent directories): .git

2025-11-14 09:59:28,819; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:59:29,186; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:59:36,814; INFO; pypromice.io.write; Written to L3_test/sites/HUM/HUM_hour.csv
2025-11-14 09:59:36,815; INFO; pypromice.io.write; Written to L3_test/sites/HUM/HUM_hour.nc
2025-11-14 09:59:37,122; INFO; pypromice.io.write; Resampling to 1D
2025-11-14 09:59:37,225; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:59:37,604; INFO; pypromice.io.write; Written to L3_test/sites/HUM/HUM_day.csv
2025-11-14 09:59:37,604; INFO; pypromice.io.write; Written to L3_test/sites/HUM/HUM_day.nc
2025-11-14 09:59:37,926; INFO; pypromice.io.write; Resampling to MS
2025-11-14 09:59:38,024; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:59:38,121; INFO; pypromice.io.write; Written to L3_test/sites/HUM/HUM_month.csv
2025-11-14 09:59:38,121; INFO; pypromice.io.write; Written to L3_test/sites/HUM/HUM_month.nc
