MIT

 ======== test get_l2 ========= 

2025-11-14 09:50:16,514; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/MIT_300234061218580_1.txt
2025-11-14 09:50:16,606; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from MIT_300234061218580_1.txt
2025-11-14 09:50:16,607; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/MIT_300234061218580_2.txt
2025-11-14 09:50:16,650; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from MIT_300234061218580_2.txt
2025-11-14 09:50:16,660; INFO; pypromice.pipeline.aws; Level 1 processing...
2025-11-14 09:50:16,802; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:50:17,054; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:50:17,187; INFO; pypromice.pipeline.aws; Level 2 processing...
2025-11-14 09:50:17,189; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/MIT.csv
2025-11-14 09:50:17,197; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/MIT.csv
2025-11-14 09:50:17,420; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/MIT.csv
2025-11-14 09:50:17,436; INFO; pypromice.core.qc.github_data_issues; ---> None 2016-01-01 00:00:00 gps_lat max_filter 66.0
2025-11-14 09:50:17,437; INFO; pypromice.core.qc.github_data_issues; Time range does not intersect with dataset
2025-11-14 09:50:17,448; INFO; pypromice.core.qc.github_data_issues; ---> 2016-08-06 00:00:00 2016-10-06 00:00:00 z_boom_cor_u min_filter 2.63
2025-11-14 09:50:17,449; INFO; pypromice.core.qc.github_data_issues; Time range does not intersect with dataset
2025-11-14 09:50:17,449; INFO; pypromice.core.qc.github_data_issues; could not adjust z_ice_surf not in dataset
2025-11-14 09:50:17,450; INFO; pypromice.core.qc.github_data_issues; could not adjust z_surf_1 not in dataset
2025-11-14 09:50:17,450; INFO; pypromice.core.qc.github_data_issues; could not adjust z_surf_2 not in dataset
2025-11-14 09:50:19,181; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:50:19,294; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:50:19,905; INFO; pypromice.io.write; Written to L2_test/tx/MIT/MIT_hour.csv
2025-11-14 09:50:19,906; INFO; pypromice.io.write; Written to L2_test/tx/MIT/MIT_hour.nc
2025-11-14 09:50:21,374; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/MIT/MIT_2010_1_raw.txt
2025-11-14 09:50:21,468; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/MIT/MIT_2010_1_raw.txt
2025-11-14 09:50:21,654; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from MIT_2010_1_raw.txt
