 ======== test join_l3 ========= 

SDM
South Dome array loaded from ../GC-Net-Level-1-data-processing/L1/hourly/SouthDome.csv
SDM array loaded from L3_test/stations/SDM/SDM_hour.nc
2025-11-14 10:00:54,825; INFO; pypromice.pipeline.join_l3; joining SDM SouthDome
2025-11-14 10:00:55,132; WARNING; pypromice.io.ingest.git; Error: fatal: not a git repository (or any of the parent directories): .git

2025-11-14 10:00:57,006; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 10:00:57,402; INFO; pypromice.io.write; Writing to files...
2025-11-14 10:01:06,324; INFO; pypromice.io.write; Written to L3_test/sites/SDM/SDM_hour.csv
2025-11-14 10:01:06,324; INFO; pypromice.io.write; Written to L3_test/sites/SDM/SDM_hour.nc
2025-11-14 10:01:06,634; INFO; pypromice.io.write; Resampling to 1D
2025-11-14 10:01:06,738; INFO; pypromice.io.write; Writing to files...
2025-11-14 10:01:07,154; INFO; pypromice.io.write; Written to L3_test/sites/SDM/SDM_day.csv
2025-11-14 10:01:07,154; INFO; pypromice.io.write; Written to L3_test/sites/SDM/SDM_day.nc
2025-11-14 10:01:07,475; INFO; pypromice.io.write; Resampling to MS
2025-11-14 10:01:07,570; INFO; pypromice.io.write; Writing to files...
2025-11-14 10:01:07,650; INFO; pypromice.io.write; Written to L3_test/sites/SDM/SDM_month.csv
2025-11-14 10:01:07,651; INFO; pypromice.io.write; Written to L3_test/sites/SDM/SDM_month.nc
