 ======== test join_l3 ========= 

SER_B
SER_B array loaded from L3_test/stations/SER_B/SER_B_hour.nc
2025-11-14 10:00:53,628; INFO; pypromice.pipeline.join_l3; joining SER_B
2025-11-14 10:00:53,778; WARNING; pypromice.io.ingest.git; Error: fatal: not a git repository (or any of the parent directories): .git

2025-11-14 10:00:54,096; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 10:00:54,185; INFO; pypromice.io.write; Writing to files...
2025-11-14 10:00:54,619; INFO; pypromice.io.write; Written to L3_test/sites/SER_B/SER_B_hour.csv
2025-11-14 10:00:54,619; INFO; pypromice.io.write; Written to L3_test/sites/SER_B/SER_B_hour.nc
2025-11-14 10:00:54,667; INFO; pypromice.io.write; Resampling to 1D
2025-11-14 10:00:54,738; INFO; pypromice.io.write; Writing to files...
2025-11-14 10:00:54,840; INFO; pypromice.io.write; Written to L3_test/sites/SER_B/SER_B_day.csv
2025-11-14 10:00:54,841; INFO; pypromice.io.write; Written to L3_test/sites/SER_B/SER_B_day.nc
2025-11-14 10:00:54,902; INFO; pypromice.io.write; Resampling to MS
2025-11-14 10:00:55,013; INFO; pypromice.io.write; Writing to files...
2025-11-14 10:00:55,095; INFO; pypromice.io.write; Written to L3_test/sites/SER_B/SER_B_month.csv
2025-11-14 10:00:55,096; INFO; pypromice.io.write; Written to L3_test/sites/SER_B/SER_B_month.nc
