HUM

 ======== test get_l2 ========= 

2025-11-14 09:47:12,805; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/HUM_300534063814560_1.txt
2025-11-14 09:47:12,912; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from HUM_300534063814560_1.txt
2025-11-14 09:47:12,913; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/HUM_300534063814560_2.txt
2025-11-14 09:47:12,954; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/HUM_300534063814560_2.txt
2025-11-14 09:47:13,088; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from HUM_300534063814560_2.txt
2025-11-14 09:47:13,105; INFO; pypromice.pipeline.aws; Level 1 processing...
2025-11-14 09:47:13,270; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:47:13,500; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:47:13,639; INFO; pypromice.pipeline.aws; Level 2 processing...
2025-11-14 09:47:13,641; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/HUM.csv
2025-11-14 09:47:13,648; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/HUM.csv
2025-11-14 09:47:13,885; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/HUM.csv
2025-11-14 09:47:13,904; INFO; pypromice.core.qc.github_data_issues; could not adjust p_u p_l not in dataset
2025-11-14 09:47:13,924; INFO; pypromice.core.qc.github_data_issues; could not adjust z_surf_1 not in dataset
2025-11-14 09:47:13,924; INFO; pypromice.core.qc.github_data_issues; could not adjust z_surf_2 not in dataset
2025-11-14 09:47:14,768; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:47:14,855; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:47:15,768; INFO; pypromice.io.write; Written to L2_test/tx/HUM/HUM_hour.csv
2025-11-14 09:47:15,769; INFO; pypromice.io.write; Written to L2_test/tx/HUM/HUM_hour.nc
2025-11-14 09:47:16,967; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/HUM/HUM_2023_raw.txt
2025-11-14 09:47:17,041; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/HUM/HUM_2023_raw.txt
2025-11-14 09:47:17,221; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from HUM_2023_raw.txt
2025-11-14 09:47:17,229; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/HUM/HUM_2025_DataTable10min.dat
2025-11-14 09:47:17,352; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/HUM/HUM_2025_DataTable10min.dat
2025-11-14 09:47:17,622; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from HUM_2025_DataTable10min.dat
2025-11-14 09:47:17,632; INFO; pypromice.pipeline.aws; Level 1 processing...
2025-11-14 09:47:17,719; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:47:17,940; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:47:18,142; INFO; pypromice.pipeline.aws; Level 2 processing...
2025-11-14 09:47:18,148; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/HUM.csv
2025-11-14 09:47:18,158; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/HUM.csv
2025-11-14 09:47:18,389; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/HUM.csv
2025-11-14 09:47:18,414; INFO; pypromice.core.qc.github_data_issues; could not adjust p_u p_l not in dataset
2025-11-14 09:47:18,438; INFO; pypromice.core.qc.github_data_issues; could not adjust z_surf_1 not in dataset
2025-11-14 09:47:18,438; INFO; pypromice.core.qc.github_data_issues; could not adjust z_surf_2 not in dataset
2025-11-14 09:47:19,799; INFO; pypromice.io.write; Resampling to 10min
2025-11-14 09:47:19,965; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:47:22,711; INFO; pypromice.io.write; Written to L2_test/raw/HUM/HUM_10min.csv
2025-11-14 09:47:22,712; INFO; pypromice.io.write; Written to L2_test/raw/HUM/HUM_10min.nc
2025-11-14 09:47:23,072; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:47:23,157; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:47:23,670; INFO; pypromice.io.write; Written to L2_test/raw/HUM/HUM_hour.csv
2025-11-14 09:47:23,671; INFO; pypromice.io.write; Written to L2_test/raw/HUM/HUM_hour.nc

 ======== test join_l2 ========= 

2025-11-14 09:47:23,800; INFO; pypromice.pipeline.join_l2; HUM array loaded from L2_test/raw/HUM/HUM_hour.nc
2025-11-14 09:47:23,844; INFO; pypromice.pipeline.join_l2; HUM array loaded from L2_test/tx/HUM/HUM_hour.nc
2025-11-14 09:47:23,844; INFO; pypromice.pipeline.join_l2; Combining L2_test/raw/HUM/HUM_hour.nc with L2_test/tx/HUM/HUM_hour.nc...
2025-11-14 09:47:23,985; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:47:24,856; INFO; pypromice.io.write; Written to L2_test/level_2/HUM/HUM_hour.csv
2025-11-14 09:47:24,857; INFO; pypromice.io.write; Written to L2_test/level_2/HUM/HUM_hour.nc
2025-11-14 09:47:24,857; INFO; pypromice.pipeline.join_l2; Files saved to L2_test/level_2/HUM...

 ======== test l2tol3 ========= 

2025-11-14 09:47:24,906; WARNING; root; data_issues_path is missing. Using default data issues path: ../PROMICE-AWS-data-issues
2025-11-14 09:47:28,456; INFO; pypromice.pipeline.L2toL3; processing gps_lat with relocation on 2023-06-30T14:00:00
2025-11-14 09:47:28,462; INFO; pypromice.pipeline.L2toL3; processing gps_lon with relocation on 2023-06-30T14:00:00
2025-11-14 09:47:28,467; INFO; pypromice.pipeline.L2toL3; processing gps_alt with relocation on 2023-06-30T14:00:00
2025-11-14 09:47:28,489; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/HUM.csv
2025-11-14 09:47:28,508; INFO; pypromice.pipeline.L2toL3; Combining surface height
2025-11-14 09:47:28,508; INFO; pypromice.pipeline.L2toL3; -> did not find z_ice_surf
