 ======== test join_l3 ========= 

TAS_U
TAS_U array loaded from L3_test/stations/TAS_U/TAS_U_hour.nc
2025-11-14 10:00:53,074; INFO; pypromice.pipeline.join_l3; joining TAS_U
2025-11-14 10:00:53,176; WARNING; pypromice.io.ingest.git; Error: fatal: not a git repository (or any of the parent directories): .git

2025-11-14 10:00:53,639; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 10:00:53,773; INFO; pypromice.io.write; Writing to files...
2025-11-14 10:00:56,307; INFO; pypromice.io.write; Written to L3_test/sites/TAS_U/TAS_U_hour.csv
2025-11-14 10:00:56,307; INFO; pypromice.io.write; Written to L3_test/sites/TAS_U/TAS_U_hour.nc
2025-11-14 10:00:56,389; INFO; pypromice.io.write; Resampling to 1D
2025-11-14 10:00:56,462; INFO; pypromice.io.write; Writing to files...
2025-11-14 10:00:56,607; INFO; pypromice.io.write; Written to L3_test/sites/TAS_U/TAS_U_day.csv
2025-11-14 10:00:56,607; INFO; pypromice.io.write; Written to L3_test/sites/TAS_U/TAS_U_day.nc
2025-11-14 10:00:56,688; INFO; pypromice.io.write; Resampling to MS
2025-11-14 10:00:56,759; INFO; pypromice.io.write; Writing to files...
2025-11-14 10:00:56,825; INFO; pypromice.io.write; Written to L3_test/sites/TAS_U/TAS_U_month.csv
2025-11-14 10:00:56,825; INFO; pypromice.io.write; Written to L3_test/sites/TAS_U/TAS_U_month.nc
