 ======== test join_l3 ========= 

NUK_L
NUK_Lv3 array loaded from L3_test/stations/NUK_Lv3/NUK_Lv3_hour.nc
NUK_L array loaded from L3_test/stations/NUK_L/NUK_L_hour.nc
2025-11-14 10:00:12,615; INFO; pypromice.pipeline.join_l3; joining NUK_Lv3 NUK_L
2025-11-14 10:00:12,849; WARNING; pypromice.io.ingest.git; Error: fatal: not a git repository (or any of the parent directories): .git

2025-11-14 10:00:13,868; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 10:00:14,121; INFO; pypromice.io.write; Writing to files...
2025-11-14 10:00:19,838; INFO; pypromice.io.write; Written to L3_test/sites/NUK_L/NUK_L_hour.csv
2025-11-14 10:00:19,838; INFO; pypromice.io.write; Written to L3_test/sites/NUK_L/NUK_L_hour.nc
2025-11-14 10:00:19,999; INFO; pypromice.io.write; Resampling to 1D
2025-11-14 10:00:20,079; INFO; pypromice.io.write; Writing to files...
2025-11-14 10:00:20,352; INFO; pypromice.io.write; Written to L3_test/sites/NUK_L/NUK_L_day.csv
2025-11-14 10:00:20,352; INFO; pypromice.io.write; Written to L3_test/sites/NUK_L/NUK_L_day.nc
2025-11-14 10:00:20,516; INFO; pypromice.io.write; Resampling to MS
2025-11-14 10:00:20,591; INFO; pypromice.io.write; Writing to files...
2025-11-14 10:00:20,657; INFO; pypromice.io.write; Written to L3_test/sites/NUK_L/NUK_L_month.csv
2025-11-14 10:00:20,658; INFO; pypromice.io.write; Written to L3_test/sites/NUK_L/NUK_L_month.nc
