 ======== test join_l3 ========= 

WEG_L
WEG_L array loaded from L3_test/stations/WEG_L/WEG_L_hour.nc
2025-11-14 10:01:28,789; INFO; pypromice.pipeline.join_l3; joining WEG_L
2025-11-14 10:01:28,904; WARNING; pypromice.io.ingest.git; Error: fatal: not a git repository (or any of the parent directories): .git

2025-11-14 10:01:29,198; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 10:01:29,311; INFO; pypromice.io.write; Writing to files...
2025-11-14 10:01:30,787; INFO; pypromice.io.write; Written to L3_test/sites/WEG_L/WEG_L_hour.csv
2025-11-14 10:01:30,787; INFO; pypromice.io.write; Written to L3_test/sites/WEG_L/WEG_L_hour.nc
2025-11-14 10:01:30,844; INFO; pypromice.io.write; Resampling to 1D
2025-11-14 10:01:30,919; INFO; pypromice.io.write; Writing to files...
2025-11-14 10:01:31,042; INFO; pypromice.io.write; Written to L3_test/sites/WEG_L/WEG_L_day.csv
2025-11-14 10:01:31,042; INFO; pypromice.io.write; Written to L3_test/sites/WEG_L/WEG_L_day.nc
2025-11-14 10:01:31,102; INFO; pypromice.io.write; Resampling to MS
2025-11-14 10:01:31,178; INFO; pypromice.io.write; Writing to files...
2025-11-14 10:01:31,242; INFO; pypromice.io.write; Written to L3_test/sites/WEG_L/WEG_L_month.csv
2025-11-14 10:01:31,242; INFO; pypromice.io.write; Written to L3_test/sites/WEG_L/WEG_L_month.nc
