CEN2

 ======== test get_l2 ========= 

2025-11-14 09:46:33,058; INFO; pypromice.io.write; Written to L2_test/raw/CEN2/CEN2_10min.csv
2025-11-14 09:46:33,058; INFO; pypromice.io.write; Written to L2_test/raw/CEN2/CEN2_10min.nc
2025-11-14 09:46:33,529; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:46:33,624; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:46:34,314; INFO; pypromice.io.write; Written to L2_test/raw/CEN2/CEN2_hour.csv
2025-11-14 09:46:34,315; INFO; pypromice.io.write; Written to L2_test/raw/CEN2/CEN2_hour.nc

 ======== test join_l2 ========= 

2025-11-14 09:46:34,515; INFO; pypromice.pipeline.join_l2; CEN2 array loaded from L2_test/raw/CEN2/CEN2_hour.nc
2025-11-14 09:46:34,545; INFO; pypromice.pipeline.join_l2; CEN2 array loaded from L2_test/tx/CEN2/CEN2_hour.nc
2025-11-14 09:46:34,545; INFO; pypromice.pipeline.join_l2; Combining L2_test/raw/CEN2/CEN2_hour.nc with L2_test/tx/CEN2/CEN2_hour.nc...
2025-11-14 09:46:34,679; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:46:35,851; INFO; pypromice.io.write; Written to L2_test/level_2/CEN2/CEN2_hour.csv
2025-11-14 09:46:35,851; INFO; pypromice.io.write; Written to L2_test/level_2/CEN2/CEN2_hour.nc
2025-11-14 09:46:35,851; INFO; pypromice.pipeline.join_l2; Files saved to L2_test/level_2/CEN2...

 ======== test l2tol3 ========= 

2025-11-14 09:46:35,894; WARNING; root; data_issues_path is missing. Using default data issues path: ../PROMICE-AWS-data-issues
2025-11-14 09:46:39,424; INFO; pypromice.pipeline.L2toL3; processing gps_lat without relocation
2025-11-14 09:46:39,428; INFO; pypromice.pipeline.L2toL3; processing gps_lon without relocation
2025-11-14 09:46:39,432; INFO; pypromice.pipeline.L2toL3; processing gps_alt without relocation
2025-11-14 09:46:39,455; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/CEN2.csv
2025-11-14 09:46:39,479; INFO; pypromice.pipeline.L2toL3; Combining surface height
2025-11-14 09:46:39,479; INFO; pypromice.pipeline.L2toL3; -> did not find z_ice_surf
2025-11-14 09:46:39,479; INFO; pypromice.pipeline.L2toL3; -> no z_pt or accumulation site: averaging z_surf_1 and z_surf_2
2025-11-14 09:46:39,537; INFO; pypromice.pipeline.L2toL3; Calculating thermistor depth
2025-11-14 09:46:39,592; INFO; pypromice.pipeline.L2toL3; interpolating 10 m firn/ice temperature (on hourly values)
2025-11-14 09:46:42,193; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:46:42,321; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:46:43,536; INFO; pypromice.io.write; Written to L3_test/stations/CEN2/CEN2_hour.csv
2025-11-14 09:46:43,536; INFO; pypromice.io.write; Written to L3_test/stations/CEN2/CEN2_hour.nc
2025-11-14 09:46:43,649; INFO; pypromice.io.write; Resampling to 1D
2025-11-14 09:46:43,754; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:46:43,898; INFO; pypromice.io.write; Written to L3_test/stations/CEN2/CEN2_day.csv
2025-11-14 09:46:43,898; INFO; pypromice.io.write; Written to L3_test/stations/CEN2/CEN2_day.nc
2025-11-14 09:46:44,005; INFO; pypromice.io.write; Resampling to MS
2025-11-14 09:46:44,107; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:46:44,199; INFO; pypromice.io.write; Written to L3_test/stations/CEN2/CEN2_month.csv
2025-11-14 09:46:44,200; INFO; pypromice.io.write; Written to L3_test/stations/CEN2/CEN2_month.nc
