TUN

 ======== test get_l2 ========= 

2025-11-14 09:57:58,499; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/TUN_300534063816570_1.txt
2025-11-14 09:57:58,623; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from TUN_300534063816570_1.txt
2025-11-14 09:57:58,623; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/TUN_300534063819800_2.txt
2025-11-14 09:57:58,659; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/TUN_300534063819800_2.txt
2025-11-14 09:57:58,780; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from TUN_300534063819800_2.txt
2025-11-14 09:57:58,795; INFO; pypromice.pipeline.aws; Level 1 processing...
2025-11-14 09:57:58,930; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:57:59,255; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:57:59,499; INFO; pypromice.pipeline.aws; Level 2 processing...
2025-11-14 09:57:59,502; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/TUN.csv
2025-11-14 09:57:59,511; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/TUN.csv
2025-11-14 09:57:59,596; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/TUN.csv
2025-11-14 09:57:59,603; INFO; pypromice.core.qc.github_data_issues; could not adjust p_u p_l not in dataset
2025-11-14 09:58:00,459; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:58:00,571; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:58:01,610; INFO; pypromice.io.write; Written to L2_test/tx/TUN/TUN_hour.csv
2025-11-14 09:58:01,610; INFO; pypromice.io.write; Written to L2_test/tx/TUN/TUN_hour.nc
2025-11-14 09:58:01,807; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/TUN/TUN_2023_raw.txt
2025-11-14 09:58:01,899; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/TUN/TUN_2023_raw.txt
2025-11-14 09:58:02,094; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from TUN_2023_raw.txt
2025-11-14 09:58:02,101; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/TUN/TUN_2024_raw.txt
2025-11-14 09:58:02,208; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/TUN/TUN_2024_raw.txt
2025-11-14 09:58:02,445; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from TUN_2024_raw.txt
2025-11-14 09:58:02,456; INFO; pypromice.pipeline.aws; Level 1 processing...
2025-11-14 09:58:02,556; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:58:02,777; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:58:03,016; INFO; pypromice.pipeline.aws; Level 2 processing...
2025-11-14 09:58:03,021; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/TUN.csv
2025-11-14 09:58:03,028; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/TUN.csv
2025-11-14 09:58:03,100; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/TUN.csv
2025-11-14 09:58:03,105; INFO; pypromice.core.qc.github_data_issues; could not adjust p_u p_l not in dataset
2025-11-14 09:58:04,321; INFO; pypromice.io.write; Resampling to 10min
2025-11-14 09:58:04,455; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:58:07,686; INFO; pypromice.io.write; Written to L2_test/raw/TUN/TUN_10min.csv
