SCO_Lv3

 ======== test get_l2 ========= 

2025-11-14 09:55:09,202; INFO; pypromice.io.write; Written to L3_test/stations/SCO_Lv3/SCO_Lv3_hour.csv
2025-11-14 09:55:09,202; INFO; pypromice.io.write; Written to L3_test/stations/SCO_Lv3/SCO_Lv3_hour.nc
2025-11-14 09:55:09,250; INFO; pypromice.io.write; Resampling to 1D
2025-11-14 09:55:09,328; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:55:09,394; INFO; pypromice.io.write; Written to L3_test/stations/SCO_Lv3/SCO_Lv3_day.csv
2025-11-14 09:55:09,394; INFO; pypromice.io.write; Written to L3_test/stations/SCO_Lv3/SCO_Lv3_day.nc
2025-11-14 09:55:09,436; INFO; pypromice.io.write; Resampling to MS
2025-11-14 09:55:09,513; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:55:09,570; INFO; pypromice.io.write; Written to L3_test/stations/SCO_Lv3/SCO_Lv3_month.csv
2025-11-14 09:55:09,570; INFO; pypromice.io.write; Written to L3_test/stations/SCO_Lv3/SCO_Lv3_month.nc
