NSE

 ======== test get_l2 ========= 

2025-11-14 09:51:19,718; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/NSE_300534063818800_1.txt
2025-11-14 09:51:19,845; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from NSE_300534063818800_1.txt
2025-11-14 09:51:19,846; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/NSE_300534063818800_2.txt
2025-11-14 09:51:19,892; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from NSE_300534063818800_2.txt
2025-11-14 09:51:19,900; INFO; pypromice.pipeline.aws; Level 1 processing...
2025-11-14 09:51:20,044; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:51:20,385; INFO; pypromice.pipeline.L0toL1; Wind speed correction applied to wspd_u based on factor of 1.7
2025-11-14 09:51:20,387; INFO; pypromice.pipeline.L0toL1; Wind speed correction applied to wspd_l based on factor of 1.7
2025-11-14 09:51:20,388; INFO; pypromice.pipeline.L0toL1; Wind speed correction applied to wspd_i based on factor of 1.7
2025-11-14 09:51:20,391; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:51:20,656; INFO; pypromice.pipeline.aws; Level 2 processing...
2025-11-14 09:51:20,660; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/NSE.csv
2025-11-14 09:51:20,667; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/NSE.csv
2025-11-14 09:51:20,798; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/NSE.csv
2025-11-14 09:51:20,828; INFO; pypromice.core.qc.github_data_issues; ---> 2022-05-01 00:00:00 2022-10-01 00:00:00 rh_l min_filter 50.0
2025-11-14 09:51:20,828; INFO; pypromice.core.qc.github_data_issues; Time range does not intersect with dataset
2025-11-14 09:51:20,843; INFO; pypromice.core.qc.github_data_issues; ---> 2022-04-01 00:00:00 2022-10-01 00:00:00 t_l max_filter -2.2
2025-11-14 09:51:20,843; INFO; pypromice.core.qc.github_data_issues; Time range does not intersect with dataset
2025-11-14 09:51:20,845; INFO; pypromice.core.qc.github_data_issues; ---> 2022-05-01 00:00:00 2022-10-01 00:00:00 t_l min_filter -40.0
2025-11-14 09:51:20,845; INFO; pypromice.core.qc.github_data_issues; Time range does not intersect with dataset
2025-11-14 09:51:20,847; INFO; pypromice.core.qc.github_data_issues; ---> 2022-02-01 00:00:00 2022-07-01 00:00:00 t_u max_filter -20.7
2025-11-14 09:51:20,847; INFO; pypromice.core.qc.github_data_issues; Time range does not intersect with dataset
2025-11-14 09:51:20,850; INFO; pypromice.core.qc.github_data_issues; ---> None 2022-10-01 00:00:00 z_boom_cor_u min_filter 2.0
2025-11-14 09:51:20,850; INFO; pypromice.core.qc.github_data_issues; Time range does not intersect with dataset
