 ======== test join_l3 ========= 

JAR
JAR_O array loaded from L3_test/stations/JAR_O/JAR_O_hour.nc
JAR1 array loaded from ../GC-Net-Level-1-data-processing/L1/hourly/JAR1.csv
JAR array loaded from L3_test/stations/JAR/JAR_hour.nc
2025-11-14 09:59:42,989; INFO; pypromice.pipeline.join_l3; joining JAR_O JAR JAR1
2025-11-14 09:59:43,335; WARNING; pypromice.io.ingest.git; Error: fatal: not a git repository (or any of the parent directories): .git

2025-11-14 09:59:44,905; INFO; pypromice.pipeline.resample; wdir_l in dataframe but not wspd_x_l nor wspd_y_l, recalculating them
2025-11-14 09:59:45,146; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:59:45,465; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:59:53,195; INFO; pypromice.io.write; Written to L3_test/sites/JAR/JAR_hour.csv
2025-11-14 09:59:53,195; INFO; pypromice.io.write; Written to L3_test/sites/JAR/JAR_hour.nc
2025-11-14 09:59:53,547; INFO; pypromice.io.write; Resampling to 1D
2025-11-14 09:59:53,640; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:59:53,997; INFO; pypromice.io.write; Written to L3_test/sites/JAR/JAR_day.csv
2025-11-14 09:59:53,998; INFO; pypromice.io.write; Written to L3_test/sites/JAR/JAR_day.nc
2025-11-14 09:59:54,344; INFO; pypromice.io.write; Resampling to MS
2025-11-14 09:59:54,431; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:59:54,509; INFO; pypromice.io.write; Written to L3_test/sites/JAR/JAR_month.csv
2025-11-14 09:59:54,509; INFO; pypromice.io.write; Written to L3_test/sites/JAR/JAR_month.nc
