 ======== test join_l3 ========= 

MIT
MIT array loaded from L3_test/stations/MIT/MIT_hour.nc
2025-11-14 09:59:56,837; INFO; pypromice.pipeline.join_l3; joining MIT
2025-11-14 09:59:56,993; WARNING; pypromice.io.ingest.git; Error: fatal: not a git repository (or any of the parent directories): .git

2025-11-14 09:59:57,938; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:59:58,218; INFO; pypromice.io.write; Writing to files...
2025-11-14 10:00:03,202; INFO; pypromice.io.write; Written to L3_test/sites/MIT/MIT_hour.csv
2025-11-14 10:00:03,203; INFO; pypromice.io.write; Written to L3_test/sites/MIT/MIT_hour.nc
2025-11-14 10:00:03,373; INFO; pypromice.io.write; Resampling to 1D
2025-11-14 10:00:03,451; INFO; pypromice.io.write; Writing to files...
2025-11-14 10:00:03,710; INFO; pypromice.io.write; Written to L3_test/sites/MIT/MIT_day.csv
2025-11-14 10:00:03,710; INFO; pypromice.io.write; Written to L3_test/sites/MIT/MIT_day.nc
2025-11-14 10:00:03,873; INFO; pypromice.io.write; Resampling to MS
2025-11-14 10:00:03,947; INFO; pypromice.io.write; Writing to files...
2025-11-14 10:00:04,038; INFO; pypromice.io.write; Written to L3_test/sites/MIT/MIT_month.csv
2025-11-14 10:00:04,038; INFO; pypromice.io.write; Written to L3_test/sites/MIT/MIT_month.nc
